n,model_key,q_holdout,R_Q10000,seed
12,d3pm_standard,0.02726,0.7934147871053293,101
12,d3pm_standard,0.02367,0.6860372904014319,102
12,d3pm_standard,0.015490000000000002,0.7252998026705307,103
12,d3pm_standard,0.020360000000000003,0.7629473382920801,104
12,d3pm_standard,0.02162,0.660353879142501,105
12,d3pm_standard,0.018189999999999998,0.7635852975835327,106
12,d3pm_standard,0.026629999999999997,0.7610501645295915,107
12,d3pm_standard,0.01876,0.6955829526845725,108
12,d3pm_standard,0.024509999999999997,0.6578131744144808,109
12,d3pm_standard,0.02722,0.7377846113440876,110
12,d3pm_standard,0.021379999999999996,0.7272578383200161,111
12,d3pm_standard,0.02521,0.7982436737545815,112
