n,model_key,q_holdout,R_Q10000,seed
12,d3pm_standard,0.030809999999999997,0.8471069018701124,101
12,d3pm_standard,0.023200000000000002,0.8177018080164193,102
12,d3pm_standard,0.023219999999999998,0.7547186948238742,103
12,d3pm_standard,0.022650000000000007,0.8585041222051949,104
12,d3pm_standard,0.02945,0.8608118545763264,105
12,d3pm_standard,0.02879,0.8158587951046126,106
12,d3pm_standard,0.02312,0.8468708614373641,107
12,d3pm_standard,0.018760000000000002,0.7982093673970134,108
12,d3pm_standard,0.01961,0.884579046662935,109
12,d3pm_standard,0.02173,0.8770817888649967,110
12,d3pm_standard,0.02411,0.9201448993499592,111
12,d3pm_standard,0.019909999999999997,0.8066697794637767,112
