seed,sigma,K,parity_kl,mse_kl_same_seed,delta_vs_mse
111,0.5,128,0.5302506739368388,0.4721735121018633,0.058077161834975466
111,0.5,256,0.5040826338276139,0.4721735121018633,0.031909121725750555
111,0.5,512,0.6018730485404904,0.4721735121018633,0.12969953643862708
111,1.0,128,0.5487447290706466,0.4721735121018633,0.07657121696878333
111,1.0,256,0.547999416666294,0.4721735121018633,0.07582590456443072
111,1.0,512,0.4976586594357526,0.4721735121018633,0.02548514733388929
111,2.0,128,0.46317718459860513,0.4721735121018633,-0.008996327503258184
111,2.0,256,0.4299493542527433,0.4721735121018633,-0.042224157849120036
111,2.0,512,0.4294578709698199,0.4721735121018633,-0.0427156411320434
111,3.0,128,0.4835337519412617,0.4721735121018633,0.011360239839398378
111,3.0,256,0.5587671982026905,0.4721735121018633,0.08659368610082718
111,3.0,512,0.4869578173767595,0.4721735121018633,0.014784305274896214
112,0.5,128,0.6447587925275104,0.4337935129520418,0.21096527957546862
112,0.5,256,0.5090707634692289,0.4337935129520418,0.07527725051718703
112,0.5,512,0.5028634638717633,0.4337935129520418,0.06906995091972146
112,1.0,128,0.6795640702570247,0.4337935129520418,0.24577055730498287
112,1.0,256,0.41997044543963213,0.4337935129520418,-0.013823067512409692
112,1.0,512,0.40839129050969847,0.4337935129520418,-0.02540222244234336
112,2.0,128,0.5775393040842918,0.4337935129520418,0.14374579113224994
112,2.0,256,0.6630402036600408,0.4337935129520418,0.22924669070799897
112,2.0,512,0.7685483879459352,0.4337935129520418,0.33475487499389334
112,3.0,128,0.669650223442121,0.4337935129520418,0.23585671049007917
112,3.0,256,0.5844532523950883,0.4337935129520418,0.15065973944304645
112,3.0,512,0.4905737948244419,0.4337935129520418,0.056780281872400085
113,0.5,128,0.6234647372422455,0.4490399685074583,0.17442476873478718
113,0.5,256,0.5564836030522298,0.4490399685074583,0.10744363454477146
113,0.5,512,0.47832028691763295,0.4490399685074583,0.029280318410174644
113,1.0,128,0.44242304536741023,0.4490399685074583,-0.006616923140048081
113,1.0,256,0.33815127961369407,0.4490399685074583,-0.11088868889376424
113,1.0,512,0.5001729886560466,0.4490399685074583,0.05113302014858834
113,2.0,128,0.3795164255963031,0.4490399685074583,-0.0695235429111552
113,2.0,256,0.36852087372006037,0.4490399685074583,-0.08051909478739794
113,2.0,512,0.3351818838430996,0.4490399685074583,-0.1138580846643587
113,3.0,128,0.45837354589607204,0.4490399685074583,0.009333577388613734
113,3.0,256,0.4748255615339321,0.4490399685074583,0.025785593026473763
113,3.0,512,0.4433378849185518,0.4490399685074583,-0.005702083588906504
114,0.5,128,0.4900075261034932,0.3608627506536855,0.12914477544980768
114,0.5,256,0.48850743599313146,0.3608627506536855,0.12764468533944595
114,0.5,512,0.4181219588356595,0.3608627506536855,0.057259208181974
114,1.0,128,0.5384534935278553,0.3608627506536855,0.17759074287416982
114,1.0,256,0.5010670102175452,0.3608627506536855,0.14020425956385968
114,1.0,512,0.4560047686670918,0.3608627506536855,0.09514201801340627
114,2.0,128,0.5690074289122553,0.3608627506536855,0.2081446782585698
114,2.0,256,0.6197658838970445,0.3608627506536855,0.25890313324335895
114,2.0,512,0.7943279385841726,0.3608627506536855,0.4334651879304871
114,3.0,128,1.0398717157993396,0.3608627506536855,0.6790089651456541
114,3.0,256,0.582314815046759,0.3608627506536855,0.22145206439307347
114,3.0,512,0.47507696290220147,0.3608627506536855,0.11421421224851597
115,0.5,128,0.6876762808756997,0.5919979842163345,0.09567829665936511
115,0.5,256,0.6578112969235167,0.5919979842163345,0.06581331270718216
115,0.5,512,0.5081116835237223,0.5919979842163345,-0.08388630069261227
115,1.0,128,0.5798679252844865,0.5919979842163345,-0.012130058931848042
115,1.0,256,0.5335294232016692,0.5919979842163345,-0.058468561014665354
115,1.0,512,0.43689530042804087,0.5919979842163345,-0.15510268378829367
115,2.0,128,0.4172582770230571,0.5919979842163345,-0.17473970719327742
115,2.0,256,0.38739293627811544,0.5919979842163345,-0.2046050479382191
115,2.0,512,0.5607826808258062,0.5919979842163345,-0.03121530339052836
115,3.0,128,0.6531631398337404,0.5919979842163345,0.061165155617405875
115,3.0,256,0.44722661814356035,0.5919979842163345,-0.1447713660727742
115,3.0,512,0.7382066677769162,0.5919979842163345,0.1462086835605817
116,0.5,128,0.7750537773780333,0.5518511089168346,0.22320266846119863
116,0.5,256,0.4502506705043846,0.5518511089168346,-0.10160043841245003
116,0.5,512,0.4605662390711244,0.5518511089168346,-0.09128486984571027
116,1.0,128,0.6392138586544125,0.5518511089168346,0.08736274973757785
116,1.0,256,0.5379478827338371,0.5518511089168346,-0.013903226182997552
116,1.0,512,0.40983808455563076,0.5518511089168346,-0.1420130243612039
116,2.0,128,1.1258373755453805,0.5518511089168346,0.5739862666285459
116,2.0,256,0.9723537527069562,0.5518511089168346,0.4205026437901216
116,2.0,512,0.5389866550039156,0.5518511089168346,-0.012864453912919016
116,3.0,128,1.1494227998511006,0.5518511089168346,0.597571690934266
116,3.0,256,0.5867640212607748,0.5518511089168346,0.03491291234394012
116,3.0,512,0.6320731256198232,0.5518511089168346,0.08022201670298856
117,0.5,128,0.7934265277684673,0.5250827765343622,0.26834375123410514
117,0.5,256,0.6044762948261737,0.5250827765343622,0.07939351829181152
117,0.5,512,0.5887849611761377,0.5250827765343622,0.06370218464177546
117,1.0,128,0.6043083984693954,0.5250827765343622,0.07922562193503324
117,1.0,256,0.47868711386881563,0.5250827765343622,-0.046395662665546566
117,1.0,512,0.5162541471641444,0.5250827765343622,-0.008828629370217778
117,2.0,128,0.54797402107966,0.5250827765343622,0.022891244545297784
117,2.0,256,0.8534500329468508,0.5250827765343622,0.32836725641248865
117,2.0,512,0.5408035819545739,0.5250827765343622,0.015720805420211703
117,3.0,128,0.494695750912176,0.5250827765343622,-0.030387025622186203
117,3.0,256,0.7808437525488472,0.5250827765343622,0.255760976014485
117,3.0,512,0.466854114146555,0.5250827765343622,-0.05822866238780722
118,0.5,128,0.5918219764150949,0.5179591947171425,0.07386278169795246
118,0.5,256,0.5257620474602098,0.5179591947171425,0.007802852743067357
118,0.5,512,0.4939698058731117,0.5179591947171425,-0.02398938884403079
118,1.0,128,0.49767610035203486,0.5179591947171425,-0.020283094365107612
118,1.0,256,0.44614700503438864,0.5179591947171425,-0.07181218968275382
