seed,sigma,K,parity_kl,mse_kl,delta_vs_mse
111,1.0,512,0.4976586594357526,0.4721735121018633,0.02548514733388929
112,1.0,512,0.40839129050969847,0.4337935129520418,-0.02540222244234336
113,1.0,512,0.5001729886560466,0.4490399685074583,0.05113302014858834
114,1.0,512,0.4560047686670918,0.3608627506536855,0.09514201801340627
115,1.0,512,0.43689530042804087,0.5919979842163345,-0.15510268378829367
116,1.0,512,0.40983808455563076,0.5518511089168346,-0.1420130243612039
117,1.0,512,0.5162541471641444,0.5250827765343622,-0.008828629370217778
118,1.0,512,0.38189240997465035,0.5179591947171425,-0.13606678474249212
119,1.0,512,0.4706521299125025,0.5381169440727627,-0.06746481416026018
120,1.0,512,0.4377398496288409,0.3755882241517022,0.062151625477138706
