budget_q,beta,model_key,model_label,n_seeds,min,q1,median,mean,std,ci95,q3,max
2000,0.1,iqp_parity_mse,IQP (parity),10,0.045889329721852834,0.0474077951743529,0.04832700895116229,0.04846129961480656,0.0018236818970676116,0.0013044928037556599,0.04943314659954598,0.0519499697599495
2000,0.1,classical_nnn_fields_parity,Ising+fields (NN+NNN),10,0.023975000038525415,0.03425187785792652,0.03703098118432056,0.035571267613621255,0.005081763022530198,0.003635021712910322,0.038872573232811555,0.04099402507679962
2000,0.1,classical_dense_fields_xent,Dense Ising+fields (xent),10,0.029985150194648952,0.03503103767800299,0.036935763255502616,0.037015887522389504,0.0036206376393062636,0.002589868196353981,0.03970150460251438,0.04239092859953177
2000,0.1,classical_transformer_mle,AR Transformer (MLE),10,0.023715947491389132,0.028189903032097223,0.031285069645993493,0.03206201951616533,0.005625123090925043,0.004023691085682507,0.035178669120437656,0.04154429878517637
2000,0.1,classical_maxent_parity,"MaxEnt parity (P,z)",10,0.024982674423160937,0.02608411705775311,0.02696302670795202,0.02726830568705143,0.0016218831311563453,0.0011601446921900933,0.028432960063200632,0.030094712845497775
2000,0.2,iqp_parity_mse,IQP (parity),10,0.048458119011609804,0.05158072366304254,0.052577461408113306,0.052192346676122756,0.0017021000613765542,0.0012175244404783734,0.05314894758743585,0.05427678820929823
2000,0.2,classical_nnn_fields_parity,Ising+fields (NN+NNN),10,0.029667324569528856,0.03760394996168409,0.03923768040510911,0.03893757866567137,0.004798054792946246,0.003432083171680287,0.04307399079857364,0.044250428591904555
2000,0.2,classical_dense_fields_xent,Dense Ising+fields (xent),10,0.038462239308868724,0.0394789027146456,0.04077085735345379,0.04047965415901908,0.0012899629251364754,0.0009227197767647451,0.04139758924330464,0.04235790253210175
2000,0.2,classical_transformer_mle,AR Transformer (MLE),10,0.030403100398876063,0.03141375442837029,0.034309419278010074,0.034536640271333824,0.00354186946970118,0.002533524756974527,0.036877305541063915,0.041383692882801006
2000,0.2,classical_maxent_parity,"MaxEnt parity (P,z)",10,0.026278654817178938,0.028233967813347555,0.028392762978752838,0.029574428783150485,0.002575046970871642,0.0018419496559329669,0.03196417125823243,0.03345943745141867
2000,0.3,iqp_parity_mse,IQP (parity),10,0.05049998244126287,0.05179058656458385,0.054415312625900145,0.05390122137175048,0.002673146801380597,0.0019121211716750224,0.05497505342086655,0.0593682760249101
2000,0.3,classical_nnn_fields_parity,Ising+fields (NN+NNN),10,0.036412990999263005,0.03885731064184977,0.04390659998118753,0.04287281266944125,0.004585664723486673,0.0032801590243579505,0.046824950965831946,0.04838463550001382
2000,0.3,classical_dense_fields_xent,Dense Ising+fields (xent),10,0.037567270080935654,0.042464073521569355,0.043217939879503224,0.04279476491403251,0.0021960843689711445,0.0015708749757123558,0.044248084976764045,0.04508795793939889
2000,0.3,classical_transformer_mle,AR Transformer (MLE),10,0.03238360590710341,0.03711445397124357,0.03822920592476885,0.037881152360108125,0.002323434954607477,0.0016619697673993217,0.03882463328650695,0.040671870799616136
2000,0.3,classical_maxent_parity,"MaxEnt parity (P,z)",10,0.025153019776843272,0.0299082193567929,0.031039719475119763,0.03070186496175071,0.0024056375606160228,0.0017207698838892286,0.03204302139433334,0.03428065480662908
2000,0.4,iqp_parity_mse,IQP (parity),10,0.04888820338955045,0.050835014552482086,0.051303560804706716,0.05222096846246362,0.00232160252203632,0.001660659015175326,0.05410124189496748,0.05583096458581919
2000,0.4,classical_nnn_fields_parity,Ising+fields (NN+NNN),10,0.035535479715791345,0.04290619462352003,0.04476140320052685,0.043743588289648215,0.003307268764336127,0.0023657131817229424,0.045603537206225654,0.04742052563010753
2000,0.4,classical_dense_fields_xent,Dense Ising+fields (xent),10,0.040147600289557515,0.04286523347161795,0.04360313880929484,0.04384090052129745,0.0020838583927283707,0.0014905989261235803,0.045163628046780514,0.04682724046926745
2000,0.4,classical_transformer_mle,AR Transformer (MLE),10,0.03245479393802172,0.03578030141734016,0.037881301576038334,0.03778864982712416,0.0032222457608922605,0.0023048956146217076,0.03955407486304998,0.0440217415125228
2000,0.4,classical_maxent_parity,"MaxEnt parity (P,z)",10,0.027582585362193768,0.028913741167501786,0.030707734718042546,0.031017623519283284,0.0030620256377953464,0.0021902890059073035,0.03188027078886089,0.03724592041806636
2000,0.5,iqp_parity_mse,IQP (parity),10,0.05105134054558087,0.05175435875869565,0.05315160137061126,0.05357564839268179,0.0023005975533657726,0.001645634009708144,0.055023960296876624,0.05796230397423847
2000,0.5,classical_nnn_fields_parity,Ising+fields (NN+NNN),10,0.04058924346292268,0.044257408718841505,0.04521950270338344,0.045055477218691534,0.002677491456292713,0.0019152289346444143,0.04615868968380754,0.05025619245699782
2000,0.5,classical_dense_fields_xent,Dense Ising+fields (xent),10,0.04264347925603501,0.0435843818742839,0.0449357358575527,0.045193282604511206,0.0020416176303387277,0.0014603838043684954,0.04572465307461403,0.04873773743271228
2000,0.5,classical_transformer_mle,AR Transformer (MLE),10,0.031588421258092796,0.03380996035384251,0.03601083875732277,0.03619746623684138,0.0031336515074397372,0.002241523506652246,0.039370541902259096,0.03972762528860902
2000,0.5,classical_maxent_parity,"MaxEnt parity (P,z)",10,0.02710662355537287,0.029416130837620073,0.03141787926137071,0.031485113511410104,0.0029819259633227005,0.0021329931315002856,0.03306243761922998,0.03742458983998293
2000,0.6,iqp_parity_mse,IQP (parity),10,0.047374467520757205,0.04944978999695504,0.05185650665453465,0.051652578256333334,0.0027505329118422918,0.001967476014189083,0.05359489105913656,0.056031279739978804
2000,0.6,classical_nnn_fields_parity,Ising+fields (NN+NNN),10,0.04115810856347511,0.043348754422673885,0.045501646661487385,0.04507162487366136,0.0027099173696761504,0.0019384234241723926,0.04622014827616633,0.05058343254221791
2000,0.6,classical_dense_fields_xent,Dense Ising+fields (xent),10,0.04038625562758747,0.04243158131557061,0.044052087888597935,0.04404340434539293,0.002555561214692512,0.0018280113541094497,0.04562188202358734,0.048077329659653494
2000,0.6,classical_transformer_mle,AR Transformer (MLE),10,0.03414157491479915,0.03889003292695264,0.03979457949807502,0.039326483397971054,0.0022813985597518373,0.001631900831214131,0.04071224109157867,0.04234500555409565
2000,0.6,classical_maxent_parity,"MaxEnt parity (P,z)",10,0.02688119807341307,0.02882660650520063,0.029733575448343243,0.030169111629172747,0.002086369526336678,0.0014923951580906646,0.03127329262521254,0.03351533929303225
2000,0.7,iqp_parity_mse,IQP (parity),10,0.045470528238348094,0.04935307258635133,0.05018342530906991,0.05047925355635515,0.0026059121950469596,0.0018640277732229111,0.051550918633695354,0.05489223078662281
2000,0.7,classical_nnn_fields_parity,Ising+fields (NN+NNN),10,0.040567182629727624,0.04354697899318122,0.043931712296315165,0.043873456815112066,0.0016822213182947595,0.0012033050322912298,0.04451115466637069,0.04702764733525592
