beta,seed,model_key,model_label,n,train_m,sigma,K,elite_frac,elite_total_count,elite_unseen_count,train_unique_count,iqp_steps,classical_steps,transformer_variant,transformer_d_model,transformer_heads,transformer_layers,transformer_dim_ff,transformer_epochs,maxent_steps,KL_pstar_to_q,quality_coverage_Q1000,quality_coverage_Q2000,quality_coverage_Q5000
0.1,116,classical_maxent_parity,"MaxEnt parity (P,z)",12,200,1.0,512,0.1,204,179,189,600,600,medium,32,4,1,64,600,600,1.5243033099355912,0.035589164535518865,0.02834064844901223,0.01836802755993396
0.1,117,iqp_parity_mse,IQP (parity),12,200,1.0,512,0.1,204,187,190,600,600,medium,32,4,1,64,600,600,0.6460655811381334,0.06834469608723157,0.049510491062765186,0.027045690523651397
0.1,117,classical_nnn_fields_parity,Ising+fields (NN+NNN),12,200,1.0,512,0.1,204,187,190,600,600,medium,32,4,1,64,600,600,0.8930961046965553,0.042286988738055996,0.03644045034396489,0.025190948486982424
0.1,117,classical_dense_fields_xent,Dense Ising+fields (xent),12,200,1.0,512,0.1,204,187,190,600,600,medium,32,4,1,64,600,600,0.8468339901890829,0.040718501177588906,0.03527003471000178,0.024624020503878567
0.1,117,classical_transformer_mle,AR Transformer (MLE),12,200,1.0,512,0.1,204,187,190,600,600,medium,32,4,1,64,600,600,1.1711796126287908,0.029993181640095012,0.02568317744613475,0.017962633660617233
0.1,117,classical_maxent_parity,"MaxEnt parity (P,z)",12,200,1.0,512,0.1,204,187,190,600,600,medium,32,4,1,64,600,600,1.4743459447712501,0.029546749900192223,0.02480364967701768,0.01704602161110812
0.1,118,iqp_parity_mse,IQP (parity),12,200,1.0,512,0.1,204,178,195,600,600,medium,32,4,1,64,600,600,0.5123153937339118,0.06354779225167338,0.04734697143908705,0.02657956238303875
0.1,118,classical_nnn_fields_parity,Ising+fields (NN+NNN),12,200,1.0,512,0.1,204,178,195,600,600,medium,32,4,1,64,600,600,0.8035515702209718,0.04326418733449253,0.03730202391530151,0.02561300519821763
0.1,118,classical_dense_fields_xent,Dense Ising+fields (xent),12,200,1.0,512,0.1,204,178,195,600,600,medium,32,4,1,64,600,600,0.9024906878221786,0.04247775259134751,0.035896089867765296,0.024136289471061265
0.1,118,classical_transformer_mle,AR Transformer (MLE),12,200,1.0,512,0.1,204,178,195,600,600,medium,32,4,1,64,600,600,1.0436668826539066,0.04635308709789919,0.03458068507957961,0.020169056076420652
0.1,118,classical_maxent_parity,"MaxEnt parity (P,z)",12,200,1.0,512,0.1,204,178,195,600,600,medium,32,4,1,64,600,600,1.458005882743779,0.036456091031295546,0.029853547342040813,0.019501083655333002
