beta,seed,model_key,model_label,n,train_m,sigma,K,elite_frac,elite_total_count,elite_unseen_count,train_unique_count,iqp_steps,classical_steps,transformer_variant,transformer_d_model,transformer_heads,transformer_layers,transformer_dim_ff,transformer_epochs,maxent_steps,KL_pstar_to_q,quality_coverage_Q1000,quality_coverage_Q2000,quality_coverage_Q5000
0.1,106,classical_maxent_parity,"MaxEnt parity (P,z)",12,200,1.0,512,0.1,204,179,192,600,600,medium,32,4,1,64,600,600,1.6095304040152745,0.030760890193253218,0.025504130418480608,0.017216003921113762
0.1,107,iqp_parity_mse,IQP (parity),12,200,1.0,512,0.1,204,177,187,600,600,medium,32,4,1,64,600,600,0.5401549837590187,0.07216621895532443,0.0519499697599495,0.027808081109987292
0.1,107,classical_nnn_fields_parity,Ising+fields (NN+NNN),12,200,1.0,512,0.1,204,177,187,600,600,medium,32,4,1,64,600,600,1.0342562942906839,0.04398497347997477,0.036195854269940216,0.023055300005448618
0.1,107,classical_dense_fields_xent,Dense Ising+fields (xent),12,200,1.0,512,0.1,204,177,187,600,600,medium,32,4,1,64,600,600,0.8795856306431888,0.044389238466753037,0.03760640636791684,0.025029733442316508
0.1,107,classical_transformer_mle,AR Transformer (MLE),12,200,1.0,512,0.1,204,177,187,600,600,medium,32,4,1,64,600,600,1.3408830101904368,0.03633223998646091,0.02939508422654116,0.01910864856210872
0.1,107,classical_maxent_parity,"MaxEnt parity (P,z)",12,200,1.0,512,0.1,204,177,187,600,600,medium,32,4,1,64,600,600,1.5116153859880082,0.03229161246334499,0.026868033865853798,0.01808953404169688
0.1,108,iqp_parity_mse,IQP (parity),12,200,1.0,512,0.1,204,181,190,600,600,medium,32,4,1,64,600,600,0.525495196897534,0.06522057387711133,0.04814186257294248,0.026729396986029077
0.1,108,classical_nnn_fields_parity,Ising+fields (NN+NNN),12,200,1.0,512,0.1,204,181,190,600,600,medium,32,4,1,64,600,600,1.274981478286229,0.04731473565544468,0.037866108098700904,0.022883129234577585
0.1,108,classical_dense_fields_xent,Dense Ising+fields (xent),12,200,1.0,512,0.1,204,181,190,600,600,medium,32,4,1,64,600,600,0.8627726132855931,0.04779289489802718,0.04028787072517744,0.02665638887129113
0.1,108,classical_transformer_mle,AR Transformer (MLE),12,200,1.0,512,0.1,204,181,190,600,600,medium,32,4,1,64,600,600,1.250433708274484,0.03293160205122635,0.02713932368482248,0.018085439055798763
0.1,108,classical_maxent_parity,"MaxEnt parity (P,z)",12,200,1.0,512,0.1,204,181,190,600,600,medium,32,4,1,64,600,600,1.6414851386087506,0.03640113861756332,0.02889730117496534,0.01835513915929333
