beta,n,seed,model_key,eval_mode,q_holdout,R_Q10000,holdout_size,shots_n16
0.8,12,42,iqp_parity,exact,0.07289446973838865,0.8607310898917969,20,0
0.8,12,42,iqp_mse,exact,0.018677662867339045,0.9139510245669001,20,0
0.8,12,43,iqp_parity,exact,0.07011444858865813,0.9102949624818315,20,0
0.8,12,43,iqp_mse,exact,0.02056142521699645,0.9328564733224063,20,0
0.8,12,44,iqp_parity,exact,0.04734493525209055,0.8552944412783072,20,0
0.8,12,44,iqp_mse,exact,0.014062039021265172,0.8916806854071997,20,0
0.8,12,45,iqp_parity,exact,0.07390347672876756,0.9862120643849822,20,0
0.8,12,45,iqp_mse,exact,0.015286892848766172,0.887591317518052,20,0
0.8,12,46,iqp_parity,exact,0.04978581641012994,0.9545505745373184,20,0
0.8,12,46,iqp_mse,exact,0.016597713273722763,0.9055551954321904,20,0
0.8,14,42,iqp_parity,exact,0.055733481888777185,0.9509611920696563,20,0
0.8,14,42,iqp_mse,exact,0.008614450146909043,0.8100576304347407,20,0
0.8,14,43,iqp_parity,exact,0.034850368807623974,0.8906525829768871,20,0
0.8,14,43,iqp_mse,exact,0.007160386660167199,0.8007405708844695,20,0
0.8,14,44,iqp_parity,exact,0.048372675216134316,0.9033884463594335,20,0
0.8,14,44,iqp_mse,exact,0.005592085993623321,0.6599738484315885,20,0
0.8,14,45,iqp_parity,exact,0.04845601445038768,0.9014982116502992,20,0
0.8,14,45,iqp_mse,exact,0.005005927495395676,0.6865859965380342,20,0
0.8,14,46,iqp_parity,exact,0.025446121475299937,0.902993984082963,20,0
0.8,14,46,iqp_mse,exact,0.004816829758202625,0.7391976003666647,20,0
0.8,16,42,iqp_parity,shot_100k,0.023810000000000005,0.8699368290980182,20,100000
0.8,16,42,iqp_mse,shot_100k,0.0043100000000000005,0.666615027090969,20,100000
0.8,16,43,iqp_parity,shot_100k,0.04346,0.9448915349868121,20,100000
0.8,16,43,iqp_mse,shot_100k,0.0024000000000000002,0.5152085312910258,20,100000
0.8,16,44,iqp_parity,shot_100k,0.0361,0.8496743159538946,20,100000
0.8,16,44,iqp_mse,shot_100k,0.0018100000000000002,0.4866607848767914,20,100000
0.8,16,45,iqp_parity,shot_100k,0.02897,0.849135315155289,20,100000
0.8,16,45,iqp_mse,shot_100k,0.0037400000000000007,0.6301510085311113,20,100000
0.8,16,46,iqp_parity,shot_100k,0.028059999999999998,0.8244552140700682,20,100000
0.8,16,46,iqp_mse,shot_100k,0.00266,0.618721189178919,20,100000
