beta,n,seed,model_key,eval_mode,q_holdout,R_Q10000,holdout_size,shots_budget,iqp_steps,sigma,K,source_note
0.8,16,42,classical_dense_fields_xent,shot_100k,0.021589999999999995,0.9950724838211947,20,100000,300,1.0,512,trained_real_classical_all_baselines
0.8,16,42,classical_transformer_mle,shot_100k,0.00716,0.5707545265120272,20,100000,300,1.0,512,trained_real_classical_all_baselines
0.8,16,42,classical_maxent_parity,shot_100k,0.015179999999999999,0.9296649598030828,20,100000,300,1.0,512,trained_real_classical_all_baselines
0.8,16,43,classical_nnn_fields_parity,shot_100k,0.02449,0.853321689539347,20,100000,300,1.0,512,trained_real_classical_all_baselines
0.8,16,43,classical_dense_fields_xent,shot_100k,0.01653,0.9701149475471091,20,100000,300,1.0,512,trained_real_classical_all_baselines
0.8,16,43,classical_transformer_mle,shot_100k,0.0049,0.4823574019230884,20,100000,300,1.0,512,trained_real_classical_all_baselines
0.8,16,43,classical_maxent_parity,shot_100k,0.00844,0.8123291715383386,20,100000,300,1.0,512,trained_real_classical_all_baselines
0.8,16,44,classical_nnn_fields_parity,shot_100k,0.017619999999999997,0.8330753191194813,20,100000,300,1.0,512,trained_real_classical_all_baselines
0.8,16,44,classical_dense_fields_xent,shot_100k,0.013029999999999996,0.9677874278740621,20,100000,300,1.0,512,trained_real_classical_all_baselines
0.8,16,44,classical_transformer_mle,shot_100k,0.006280000000000001,0.6817462923571784,20,100000,300,1.0,512,trained_real_classical_all_baselines
0.8,16,44,classical_maxent_parity,shot_100k,0.00982,0.7679726857239461,20,100000,300,1.0,512,trained_real_classical_all_baselines
0.8,16,45,classical_nnn_fields_parity,shot_100k,0.020229999999999998,0.9894320180392058,20,100000,300,1.0,512,trained_real_classical_all_baselines
0.8,16,45,classical_dense_fields_xent,shot_100k,0.01614,0.9622654830363079,20,100000,300,1.0,512,trained_real_classical_all_baselines
0.8,16,45,classical_transformer_mle,shot_100k,0.0027599999999999994,0.45852207609142603,20,100000,300,1.0,512,trained_real_classical_all_baselines
0.8,16,45,classical_maxent_parity,shot_100k,0.00985,0.8708693470043449,20,100000,300,1.0,512,trained_real_classical_all_baselines
0.8,16,46,classical_nnn_fields_parity,shot_100k,0.02186,0.9827163899050401,20,100000,300,1.0,512,trained_real_classical_all_baselines
0.8,16,46,classical_dense_fields_xent,shot_100k,0.021189999999999997,0.9917783384395976,20,100000,300,1.0,512,trained_real_classical_all_baselines
0.8,16,46,classical_transformer_mle,shot_100k,0.0038900000000000007,0.4537370111070443,20,100000,300,1.0,512,trained_real_classical_all_baselines
0.8,16,46,classical_maxent_parity,shot_100k,0.00962,0.8359316593698274,20,100000,300,1.0,512,trained_real_classical_all_baselines
0.8,18,42,classical_nnn_fields_parity,shot_100k,0.019189999999999995,0.9712475989934252,20,100000,300,1.0,512,trained_real_classical_all_baselines
0.8,18,42,classical_dense_fields_xent,shot_100k,0.01932,0.9791000652031554,20,100000,300,1.0,512,trained_real_classical_all_baselines
0.8,18,42,classical_transformer_mle,shot_100k,0.011569999999999997,0.9079973602151135,20,100000,300,1.0,512,trained_real_classical_all_baselines
0.8,18,42,classical_maxent_parity,shot_100k,0.00929,0.8766378343253326,20,100000,300,1.0,512,trained_real_classical_all_baselines
0.8,18,43,classical_nnn_fields_parity,shot_100k,0.02376,0.9936137625315921,20,100000,300,1.0,512,trained_real_classical_all_baselines
0.8,18,43,classical_dense_fields_xent,shot_100k,0.01836,0.9917804196752854,20,100000,300,1.0,512,trained_real_classical_all_baselines
0.8,18,43,classical_transformer_mle,shot_100k,0.009739999999999997,0.5021349535876586,20,100000,300,1.0,512,trained_real_classical_all_baselines
0.8,18,43,classical_maxent_parity,shot_100k,0.01201,0.8976962002826099,20,100000,300,1.0,512,trained_real_classical_all_baselines
0.8,18,44,classical_nnn_fields_parity,shot_100k,0.020450000000000003,0.9755396898973168,20,100000,300,1.0,512,trained_real_classical_all_baselines
0.8,18,44,classical_dense_fields_xent,shot_100k,0.016249999999999997,0.9928930428200594,20,100000,300,1.0,512,trained_real_classical_all_baselines
0.8,18,44,classical_transformer_mle,shot_100k,0.013380000000000001,0.6672145765705066,20,100000,300,1.0,512,trained_real_classical_all_baselines
0.8,18,44,classical_maxent_parity,shot_100k,0.01006,0.8907613920130123,20,100000,300,1.0,512,trained_real_classical_all_baselines
0.8,18,45,classical_nnn_fields_parity,shot_100k,0.010839999999999997,0.8558216928116698,20,100000,300,1.0,512,trained_real_classical_all_baselines
0.8,18,45,classical_dense_fields_xent,shot_100k,0.009979999999999998,0.932639373837187,20,100000,300,1.0,512,trained_real_classical_all_baselines
0.8,18,45,classical_transformer_mle,shot_100k,0.003899999999999999,0.4321577419551145,20,100000,300,1.0,512,trained_real_classical_all_baselines
0.8,18,45,classical_maxent_parity,shot_100k,0.011689999999999999,0.8307373155151045,20,100000,300,1.0,512,trained_real_classical_all_baselines
0.8,18,46,classical_nnn_fields_parity,shot_100k,0.018319999999999996,0.9258300833535559,20,100000,300,1.0,512,trained_real_classical_all_baselines
0.8,18,46,classical_dense_fields_xent,shot_100k,0.012509999999999997,0.9629650551206608,20,100000,300,1.0,512,trained_real_classical_all_baselines
0.8,18,46,classical_transformer_mle,shot_100k,0.00904,0.6598932600702447,20,100000,300,1.0,512,trained_real_classical_all_baselines
0.8,18,46,classical_maxent_parity,shot_100k,0.01016,0.7964581923549979,20,100000,300,1.0,512,trained_real_classical_all_baselines
