n,model_key,q_holdout,R_Q10000,seed
12,d3pm_standard,0.023819999999999997,0.9131222385270433,101
12,d3pm_standard,0.013319999999999999,0.896464820292447,102
12,d3pm_standard,0.015430000000000001,0.9058435568158838,103
12,d3pm_standard,0.016130000000000002,0.8292722415901144,104
12,d3pm_standard,0.015239999999999998,0.8288208557756429,105
12,d3pm_standard,0.01513,0.862205680498852,106
12,d3pm_standard,0.01605,0.9303132747413441,107
12,d3pm_standard,0.013489999999999999,0.9733883148068374,108
12,d3pm_standard,0.01639,0.9404419630633593,109
12,d3pm_standard,0.015360000000000002,0.9281641688482875,110
12,d3pm_standard,0.013659999999999999,0.888953407306923,111
12,d3pm_standard,0.016330000000000004,0.9022205711416553,112
