beta,model_key,seed,holdout_seed,holdout_mode,holdout_m_train,n,train_m,sigma,K,iqp_steps,artr_epochs,maxent_steps,TV,qH,Q80,R_Q10000
0.6,classical_dense_fields_xent,44,46,global,5000,12,200,1.0,512,600,600,600,0.5585535716080412,0.016191994026765643,4132.0,0.9437175820833164
0.6,classical_transformer_mle,44,46,global,5000,12,200,1.0,512,600,600,600,0.7033022339959359,0.0025928455704760938,inf,0.3728086608300456
0.6,classical_maxent_parity,44,46,global,5000,12,200,1.0,512,600,600,600,0.6438781929031153,0.009684291170558634,8319.0,0.8340007728415901
0.6,iqp_parity_mse,45,46,global,5000,12,200,1.0,512,600,600,600,0.3381832427334451,0.03662251292227579,2085.0,0.9885941853576942
0.6,classical_nnn_fields_parity,45,46,global,5000,12,200,1.0,512,600,600,600,0.5390993252438032,0.01621156448306723,3466.0,0.9660812963251006
0.6,classical_dense_fields_xent,45,46,global,5000,12,200,1.0,512,600,600,600,0.5567284638984463,0.01631355509193627,3144.0,0.969972728709678
0.6,classical_transformer_mle,45,46,global,5000,12,200,1.0,512,600,600,600,0.6658210282521548,0.00208031085785663,inf,0.34424768685618923
0.6,classical_maxent_parity,45,46,global,5000,12,200,1.0,512,600,600,600,0.6363699246369768,0.010155989111235272,8946.0,0.8221263870270873
0.6,iqp_parity_mse,46,46,global,5000,12,200,1.0,512,600,600,600,0.35360919453703127,0.04681404390777878,3480.0,0.9027521492733417
0.6,classical_nnn_fields_parity,46,46,global,5000,12,200,1.0,512,600,600,600,0.5484354994651598,0.01717736779751536,3671.0,0.9546138694045867
0.6,classical_dense_fields_xent,46,46,global,5000,12,200,1.0,512,600,600,600,0.5691521480846647,0.015145211830126503,3632.0,0.9454192827713446
0.6,classical_transformer_mle,46,46,global,5000,12,200,1.0,512,600,600,600,0.7053661849794423,0.007567386066893165,inf,0.5236294740014594
0.6,classical_maxent_parity,46,46,global,5000,12,200,1.0,512,600,600,600,0.660595362612123,0.008903552974923637,10809.0,0.7856653202392543
0.7,iqp_parity_mse,42,46,global,5000,12,200,1.0,512,600,600,600,0.37460720564058925,0.04873231262787767,1586.0,0.942360352145392
0.7,classical_nnn_fields_parity,42,46,global,5000,12,200,1.0,512,600,600,600,0.5543706497665444,0.02355385536017416,2493.0,0.9638944418830082
0.7,classical_dense_fields_xent,42,46,global,5000,12,200,1.0,512,600,600,600,0.5709232774450699,0.024206129361046835,2752.0,0.9582445004036803
0.7,classical_transformer_mle,42,46,global,5000,12,200,1.0,512,600,600,600,0.6820230793943428,0.004590458642572146,inf,0.3676160911348486
0.7,classical_maxent_parity,42,46,global,5000,12,200,1.0,512,600,600,600,0.6602797756312552,0.015445775686012412,7392.0,0.8344001210454579
