variant,family,param_count,d_model,layers,nhead,dim_ff,seeds_n,val_nll_mean,val_nll_std,test_kl_mean,test_kl_std,pareto_non_dominated
tiny,transformer,729,8,1,2,16,10,7.6978664612067575,0.0639092030789389,2.1666324789108065,0.3489629954672338,1
small,transformer,2481,16,1,2,32,10,7.73189837747141,0.09064186560912231,2.3128251118698167,0.5401780431704682,0
medium,transformer,9057,32,1,4,64,10,7.80463238036544,0.10449967552714355,3.2175011110788794,0.8107180059038958,0
large,transformer,67969,64,2,4,128,10,8.930011575071738,0.861958025146262,5.167722000870093,1.369218788587879,0
iqp_parity,iqp,24,,1,,,10,7.495469401064876,0.08335750109772491,0.98043377258254,0.1423984025246117,0
