model_key,model_label,KL_pstar_to_q,BSHS,TV_score,Composite,beta,seed,q_eval,holdout_mode,train_m,sigma,K
classical_transformer_mle,AR Transf.,2.9840539681219203,0.4751033929928673,0.16680913603899555,0.3958518064785317,0.9,103,1000,global,200,1.0,512
classical_maxent_parity,MaxEnt,2.392440813530676,0.5519655109961432,0.12257857735169231,0.4843063639110361,0.9,103,1000,global,200,1.0,512
iqp_parity_mse,IQP (parity),0.5577127534186054,0.6839577414551459,0.12104751535635574,0.6011663562432558,0.9,104,1000,global,200,1.0,512
classical_nnn_fields_parity,Ising NN+NNN,1.1399694178550737,0.6155797711348918,0.13393229514885657,0.5331337595395879,0.9,104,1000,global,200,1.0,512
classical_dense_fields_xent,Dense Ising,1.2386855975781141,0.6232790821436961,0.15311111138355846,0.5278481291745506,0.9,104,1000,global,200,1.0,512
classical_transformer_mle,AR Transf.,2.5511389769788715,0.4576117308586143,0.14583279601071863,0.39087693266019813,0.9,104,1000,global,200,1.0,512
classical_maxent_parity,MaxEnt,2.6393537539180816,0.5384527459044361,0.13029085561872833,0.46829727693029344,0.9,104,1000,global,200,1.0,512
iqp_parity_mse,IQP (parity),0.7460431559332799,0.6815501103898275,0.17126717942082292,0.5648229453494112,0.9,105,1000,global,200,1.0,512
classical_nnn_fields_parity,Ising NN+NNN,1.0731110180866403,0.626717921964981,0.14649087921826426,0.5349094625544875,0.9,105,1000,global,200,1.0,512
classical_dense_fields_xent,Dense Ising,1.0874560447067,0.6327956220184161,0.14767143198068436,0.5393497863638488,0.9,105,1000,global,200,1.0,512
classical_transformer_mle,AR Transf.,1.6487067896836949,0.5187684270696026,0.17386824049439853,0.42857107343096407,0.9,105,1000,global,200,1.0,512
classical_maxent_parity,MaxEnt,2.364020408180238,0.5213069417639515,0.13267204413884243,0.4521440841763596,0.9,105,1000,global,200,1.0,512
iqp_parity_mse,IQP (parity),0.524144614729681,0.7009649031011557,0.17503301657176173,0.5782729016004278,0.9,106,1000,global,200,1.0,512
classical_nnn_fields_parity,Ising NN+NNN,1.095403959585548,0.6152741494982212,0.16054828702528706,0.5164929387453414,0.9,106,1000,global,200,1.0,512
classical_dense_fields_xent,Dense Ising,1.1163458825228065,0.6252105774268206,0.1568464864561713,0.5271484950621897,0.9,106,1000,global,200,1.0,512
classical_transformer_mle,AR Transf.,1.5579150667873818,0.54036857819816,0.16131546426779786,0.45319877013039395,0.9,106,1000,global,200,1.0,512
classical_maxent_parity,MaxEnt,2.0156348384093015,0.49709748678942856,0.19071662478472406,0.4022927319199798,0.9,106,1000,global,200,1.0,512
iqp_parity_mse,IQP (parity),0.560168484308265,0.7061647038696683,0.16875061170388245,0.5869989781279709,0.9,107,1000,global,200,1.0,512
classical_nnn_fields_parity,Ising NN+NNN,1.1349079835425553,0.6209586737298236,0.13530060631314458,0.5369425886787723,0.9,107,1000,global,200,1.0,512
classical_dense_fields_xent,Dense Ising,1.1250451977744125,0.6343339089616366,0.147188402981493,0.5409673139445655,0.9,107,1000,global,200,1.0,512
classical_transformer_mle,AR Transf.,1.6255147289097016,0.5408815014860867,0.15599394196156724,0.45650726393518076,0.9,107,1000,global,200,1.0,512
classical_maxent_parity,MaxEnt,2.1658853059787555,0.5430274992297166,0.13161576347783183,0.4715565203291397,0.9,107,1000,global,200,1.0,512
iqp_parity_mse,IQP (parity),0.8745716251151643,0.6655388672385996,0.1878794886632656,0.5404977651762826,0.9,108,1000,global,200,1.0,512
classical_nnn_fields_parity,Ising NN+NNN,1.086508965870416,0.6258468361298326,0.15874670795319576,0.5264957112112985,0.9,108,1000,global,200,1.0,512
classical_dense_fields_xent,Dense Ising,1.1161538571926841,0.6302980387683226,0.19218061497659977,0.5091669740592816,0.9,108,1000,global,200,1.0,512
classical_transformer_mle,AR Transf.,3.035168597834694,0.46330559778781616,0.1524161469665646,0.3926903437049563,0.9,108,1000,global,200,1.0,512
classical_maxent_parity,MaxEnt,3.173086527143697,0.36528557382888516,0.2855751749109797,0.2609690821902437,0.9,108,1000,global,200,1.0,512
iqp_parity_mse,IQP (parity),0.46446183214272474,0.7048748210362616,0.1735957848480805,0.5825115232588215,0.9,109,1000,global,200,1.0,512
classical_nnn_fields_parity,Ising NN+NNN,1.1882041856238164,0.6109010654067089,0.16423360246086427,0.510570582687785,0.9,109,1000,global,200,1.0,512
classical_dense_fields_xent,Dense Ising,1.2215928540743055,0.625198422590827,0.17232585663455396,0.5174605688512909,0.9,109,1000,global,200,1.0,512
classical_transformer_mle,AR Transf.,2.435008465303631,0.46280903388699407,0.16413664334211375,0.38684511255637627,0.9,109,1000,global,200,1.0,512
classical_maxent_parity,MaxEnt,1.9223657277088149,0.5612882706236876,0.16845390678206143,0.46673706860618047,0.9,109,1000,global,200,1.0,512
iqp_parity_mse,IQP (parity),1.2102912330335158,0.6054958301801172,0.20851618473587605,0.47924014979747726,0.9,110,1000,global,200,1.0,512
classical_nnn_fields_parity,Ising NN+NNN,1.1791375035420715,0.6098199858917333,0.15348172276564526,0.5162237638801486,0.9,110,1000,global,200,1.0,512
classical_dense_fields_xent,Dense Ising,1.1631816167204452,0.6175893075760888,0.1762921227706831,0.5087131775430238,0.9,110,1000,global,200,1.0,512
classical_transformer_mle,AR Transf.,1.332781656057883,0.6101729887485536,0.1604312542179249,0.5122821708737234,0.9,110,1000,global,200,1.0,512
classical_maxent_parity,MaxEnt,1.767160275510143,0.5667186633051,0.20257633922800808,0.4519148711205628,0.9,110,1000,global,200,1.0,512
