beta,model_key,model_label,n_seeds,min,q1,median,mean,std,ci95,q3,max
0.1,iqp_parity_mse,IQP (parity),10,0.5123153937339118,0.5460887999828306,0.5646976591682336,0.5756363198531678,0.043121565371429284,0.030845166475665944,0.6093742287377102,0.6460655811381334
0.1,classical_nnn_fields_parity,Ising+fields (NN+NNN),10,0.7848067855072431,0.8685173753568529,1.0382187721018106,1.5983173014357743,1.0138290525653118,0.725199227692304,2.2734036429754214,3.4183460562800123
0.1,classical_dense_fields_xent,Dense Ising+fields (xent),10,0.8468339901890829,0.8778861329690075,0.9010083378578652,0.8957852022971113,0.02676310710772784,0.01914384338864695,0.9113224221655962,0.9397185830193218
0.1,classical_transformer_mle,AR Transformer (MLE),10,1.0436668826539066,1.1116151495605435,1.2082025037001858,1.2272162900021466,0.1586749398690317,0.11350132801578164,1.2816206071079244,1.595374851675841
0.1,classical_maxent_parity,"MaxEnt parity (P,z)",10,1.458005882743779,1.4976944641717813,1.5258831539152546,1.562000776600302,0.09914327057806757,0.07091789594328277,1.5902627527319457,1.7388539583292761
0.2,iqp_parity_mse,IQP (parity),10,0.452631049289845,0.4928896335284516,0.5019591754530706,0.5084770556361387,0.0366338478486948,0.026204455376424896,0.530871851057843,0.5622921651420282
0.2,classical_nnn_fields_parity,Ising+fields (NN+NNN),10,0.8440826000042307,0.8694085721483436,1.0816967293877597,1.5981635736938486,0.9446432008123254,0.6757100893296335,2.2138027427628666,3.3004174953834853
0.2,classical_dense_fields_xent,Dense Ising+fields (xent),10,0.8385221897450568,0.8801374138958574,0.9113905175266588,0.9064627775034545,0.04130930696057272,0.029548844973923027,0.9358194523567799,0.9627910279616942
0.2,classical_transformer_mle,AR Transformer (MLE),10,1.001897305046179,1.1772802834726,1.2549613918047786,1.248232485024903,0.14463326163219845,0.1034572143783898,1.3075491377547261,1.5147339587181272
0.2,classical_maxent_parity,"MaxEnt parity (P,z)",10,1.4707777910589743,1.589582943382128,1.6209454386351012,1.6374940392123705,0.11089606657043743,0.07932475561585343,1.657470678318261,1.8333961988625007
0.3,iqp_parity_mse,IQP (parity),10,0.49546258365045376,0.5077955480547599,0.5226820617207918,0.5377716562225167,0.03778126026665352,0.027025207748082366,0.5668606159623175,0.6073479152129553
0.3,classical_nnn_fields_parity,Ising+fields (NN+NNN),10,0.8189735922801987,0.8934329064147233,0.9666408933401059,0.9966949107111246,0.15372035591158947,0.10995727840467394,1.0438498923260902,1.2659196961834058
0.3,classical_dense_fields_xent,Dense Ising+fields (xent),10,0.8576763492149263,0.8916283713224977,0.912789231121788,0.9188895082241071,0.03955354344910228,0.0282929346808545,0.9417016845393116,0.9897206026846626
0.3,classical_transformer_mle,AR Transformer (MLE),10,1.0981081648352709,1.174730462956978,1.2430635196256814,1.236341229124874,0.09437767911424495,0.06750903402487907,1.290983170017932,1.4005983445904655
