beta,model_key,model_label,series_type,seeds_total,seeds_reached,resolved,q80_q25,q80_median,q80_q75,q80_mean,q80_std
1.2,classical_dense_fields_xent,Dense Ising+fields (xent),model,5,5,1,27989,36639,61489,41900.2,20190.999841
1.2,classical_transformer_mle,AR Transformer (MLE),model,5,5,1,15631,18070,54447,53277.6,60270.988924
1.2,classical_maxent_parity,"MaxEnt parity (P,z)",model,5,5,1,382783899,2147122518,11975827005,1705280036106.399902,3403298397625.569824
1.3,iqp_parity_mse,IQP (parity),model,5,5,1,1502,1819,2404,2043.4,660.727357
1.3,classical_nnn_fields_parity,Ising+fields (NN+NNN),model,5,5,1,2735,3051,3153,3024,326.758627
1.3,classical_dense_fields_xent,Dense Ising+fields (xent),model,5,5,1,2122,2168,2843,2465.8,503.1717
1.3,classical_transformer_mle,AR Transformer (MLE),model,5,5,1,10722,32543,34900,24090.2,13367.442409
1.3,classical_maxent_parity,"MaxEnt parity (P,z)",model,5,5,1,125769,274102,3759845,289401063.8,576682157.850614
1.4,iqp_parity_mse,IQP (parity),model,5,5,1,2241,2670,5245,3429.8,1511.945422
1.4,classical_nnn_fields_parity,Ising+fields (NN+NNN),model,5,5,1,3214,4518,47169,22623.2,23884.269479
1.4,classical_dense_fields_xent,Dense Ising+fields (xent),model,5,5,1,2324,4675,5402,4646.2,2653.180461
1.4,classical_transformer_mle,AR Transformer (MLE),model,5,5,1,4556,72584,88900,80217.4,83149.636232
1.4,classical_maxent_parity,"MaxEnt parity (P,z)",model,5,5,1,4610467,20633333,324793591,685471329,1202062268.316381
1.5,iqp_parity_mse,IQP (parity),model,5,5,1,2745,3613,4596,3796.8,1269.262526
1.5,classical_nnn_fields_parity,Ising+fields (NN+NNN),model,5,5,1,7086,7597,17712,98587,177612.120826
1.5,classical_dense_fields_xent,Dense Ising+fields (xent),model,5,5,1,3516,6273,6665,5417.6,2208.299219
1.5,classical_transformer_mle,AR Transformer (MLE),model,5,5,1,29526,34353,47489,44384.6,32705.761404
1.5,classical_maxent_parity,"MaxEnt parity (P,z)",model,5,5,1,9116421,120550580,1115711249,1651587673.2,2709279770.192619
1.6,iqp_parity_mse,IQP (parity),model,5,5,1,410,550,746,576.2,212.139954
1.6,classical_nnn_fields_parity,Ising+fields (NN+NNN),model,5,5,1,1099,1343,1529,1467.2,447.826931
1.6,classical_dense_fields_xent,Dense Ising+fields (xent),model,5,5,1,1047,1124,1193,1191.2,210.955351
1.6,classical_transformer_mle,AR Transformer (MLE),model,5,5,1,411147,513051,2820203,5391702.8,8923316.955976
1.6,classical_maxent_parity,"MaxEnt parity (P,z)",model,5,5,1,260112,354595,1337300,900752.4,917618.073418
1.7,iqp_parity_mse,IQP (parity),model,5,5,1,319,458,603,515.8,249.315383
1.7,classical_nnn_fields_parity,Ising+fields (NN+NNN),model,5,5,1,1034,2294,2322,1787.6,651.154544
1.7,classical_dense_fields_xent,Dense Ising+fields (xent),model,5,5,1,1206,1236,1596,1333.2,232.66319
1.7,classical_transformer_mle,AR Transformer (MLE),model,5,5,1,713052,4995124,13829709,7166213.8,6459119.910851
1.7,classical_maxent_parity,"MaxEnt parity (P,z)",model,5,5,1,1370246,3042388,8118307,5232010.6,5000215.893168
1.8,iqp_parity_mse,IQP (parity),model,5,5,1,317,441,788,515.8,231.868411
1.8,classical_nnn_fields_parity,Ising+fields (NN+NNN),model,5,5,1,1693,2772,3104,2511.4,957.032204
1.8,classical_dense_fields_xent,Dense Ising+fields (xent),model,5,5,1,2134,2193,2308,2069.8,449.223508
1.8,classical_transformer_mle,AR Transformer (MLE),model,5,5,1,552881,793646,868341,1595825.6,1846195.781467
1.8,classical_maxent_parity,"MaxEnt parity (P,z)",model,5,5,1,1063470,6117643,13880261,12672465.8,15339402.762683
1.9,iqp_parity_mse,IQP (parity),model,5,5,1,467,551,744,584.6,191.579331
1.9,classical_nnn_fields_parity,Ising+fields (NN+NNN),model,5,5,1,1852,2808,2809,2466.4,801.931319
1.9,classical_dense_fields_xent,Dense Ising+fields (xent),model,5,5,1,2891,2917,4479,3433.6,936.985293
1.9,classical_transformer_mle,AR Transformer (MLE),model,5,5,1,875343,4940133,9808877,6427156.2,6074860.608209
1.9,classical_maxent_parity,"MaxEnt parity (P,z)",model,5,5,1,25281615,47218175,542682202,344962496.2,427035578.29767
2.0,iqp_parity_mse,IQP (parity),model,5,5,1,327,439,524,521.4,254.43789
2.0,classical_nnn_fields_parity,Ising+fields (NN+NNN),model,5,5,1,3057,3605,4690,3761.2,1580.898656
2.0,classical_dense_fields_xent,Dense Ising+fields (xent),model,5,5,1,1939,3416,4638,5675.8,5586.462938
2.0,classical_transformer_mle,AR Transformer (MLE),model,5,5,1,6582515,12348112,74358996,67136160.2,90170817.073933
2.0,classical_maxent_parity,"MaxEnt parity (P,z)",model,5,5,1,15648124473,34476657214,133998961147,68701677654.800003,65099965138.263359
0.1,uniform_random,Uniform,reference,1,1,1,6591.51552,6591.51552,6591.51552,6591.51552,0
0.2,uniform_random,Uniform,reference,1,1,1,6591.51552,6591.51552,6591.51552,6591.51552,0
0.3,uniform_random,Uniform,reference,1,1,1,6591.51552,6591.51552,6591.51552,6591.51552,0
0.4,uniform_random,Uniform,reference,1,1,1,6591.51552,6591.51552,6591.51552,6591.51552,0
0.5,uniform_random,Uniform,reference,1,1,1,6591.51552,6591.51552,6591.51552,6591.51552,0
0.6,uniform_random,Uniform,reference,1,1,1,6591.51552,6591.51552,6591.51552,6591.51552,0
0.7,uniform_random,Uniform,reference,1,1,1,6591.51552,6591.51552,6591.51552,6591.51552,0
0.8,uniform_random,Uniform,reference,1,1,1,6591.51552,6591.51552,6591.51552,6591.51552,0
0.9,uniform_random,Uniform,reference,1,1,1,6591.51552,6591.51552,6591.51552,6591.51552,0
1.0,uniform_random,Uniform,reference,1,1,1,6591.51552,6591.51552,6591.51552,6591.51552,0
1.1,uniform_random,Uniform,reference,1,1,1,6591.51552,6591.51552,6591.51552,6591.51552,0
1.2,uniform_random,Uniform,reference,1,1,1,6591.51552,6591.51552,6591.51552,6591.51552,0
1.3,uniform_random,Uniform,reference,1,1,1,6591.51552,6591.51552,6591.51552,6591.51552,0
1.4,uniform_random,Uniform,reference,1,1,1,6591.51552,6591.51552,6591.51552,6591.51552,0
1.5,uniform_random,Uniform,reference,1,1,1,6591.51552,6591.51552,6591.51552,6591.51552,0
1.6,uniform_random,Uniform,reference,1,1,1,6591.51552,6591.51552,6591.51552,6591.51552,0
1.7,uniform_random,Uniform,reference,1,1,1,6591.51552,6591.51552,6591.51552,6591.51552,0
1.8,uniform_random,Uniform,reference,1,1,1,6591.51552,6591.51552,6591.51552,6591.51552,0
1.9,uniform_random,Uniform,reference,1,1,1,6591.51552,6591.51552,6591.51552,6591.51552,0
2.0,uniform_random,Uniform,reference,1,1,1,6591.51552,6591.51552,6591.51552,6591.51552,0
