n,model_key,q_holdout,R_Q10000,seed
12,d3pm_standard,0.0013499999999999996,0.3644743875796941,101
12,d3pm_standard,0.0034499999999999995,0.4669912343957548,102
12,d3pm_standard,0.0025333333333333328,0.2519646337840288,103
12,d3pm_standard,0.0038666666666666667,0.4807851380552351,104
12,d3pm_standard,0.004066666666666667,0.5501633147735745,105
12,d3pm_standard,0.0021666666666666666,0.525357175596621,106
12,d3pm_standard,0.00195,0.2927405357935591,107
12,d3pm_standard,0.005549999999999999,0.433044282667456,108
12,d3pm_standard,0.00325,0.5079871093881676,109
12,d3pm_standard,0.004633333333333333,0.4574005288561704,110
12,d3pm_standard,0.0029666666666666665,0.3114969397747158,111
12,d3pm_standard,0.001733333333333333,0.43494370294874035,112
