beta,model_key,model_label,qH,qH_ratio,Q80,Q80_pred,R_Q1000,R_Q10000,fit_tv_to_pstar,fit_kl_pstar_to_q,fit_js_dist_to_pstar,fit_prob_mse_to_pstar,holdout_size,p_star_holdout,sigma,K,seed,train_m
0.8,iqp_parity_mse,IQP (parity),0.0809664821919286,6.909139813711241,682.0,238.53395165949925,0.852419201077954,0.9861000599868052,0.4602259188881457,0.8309408007792083,0.4084195579797351,1.4206040298699186e-05,12.0,0.30295121832687966,2.0,128.0,46.0,500.0
0.8,iqp_prob_mse,IQP (prob-MSE),0.02492834038664218,2.1272183796601327,2093.0,774.7509320579635,0.6662665110786808,0.9570387494233333,0.5997535379627648,1.6703677682401854,0.5130988719233875,1.845784437669682e-05,12.0,0.30295121832687966,2.0,128.0,46.0,500.0
0.8,classical_nnn_fields_parity,Ising+fields (NN+NNN),0.022012945255738044,1.878437995156313,1829.0,877.3589687720173,0.6883710259405568,0.9707297219516885,0.6404687838432999,1.5522628730939,0.5745015478227651,1.711283455040682e-05,12.0,0.30295121832687966,2.0,128.0,46.0,500.0
0.8,classical_dense_fields_xent,Dense Ising+fields (xent),0.03525964019817645,3.0088226302443903,679.0,547.7439599683731,0.8849220429798587,0.9999874883255173,0.5495249932995812,1.1449723535263807,0.5256523579454709,1.5666701206622256e-05,12.0,0.30295121832687966,2.0,128.0,46.0,500.0
0.8,classical_transformer_mle,AR Transformer (MLE),0.02293114569458547,1.9567910992712934,4201.0,842.22808604672,0.6049717509649545,0.8490839871264583,0.5179167132848655,2.1888635197564525,0.5283228932230323,1.7061774672043376e-05,12.0,0.30295121832687966,2.0,128.0,46.0,500.0
0.8,classical_maxent_parity,"MaxEnt parity (P,z)",0.03552583777958252,3.031538157191042,723.0,543.6396762558252,0.8730962424660285,0.9999605481305579,0.5591813706154075,1.1319335071802783,0.527331696412534,1.5387659717594562e-05,12.0,0.30295121832687966,2.0,128.0,46.0,500.0
