metric,n_common_seeds,parity_mean,mse_mean,delta_mean,parity_seed_wins,mse_seed_wins
hardware_coverage_Q1000,4,0.05961546257107532,0.059733631309288035,-0.00011816873821272368,2,2
hardware_coverage_Q2000,4,0.04112133367782856,0.04180768767971428,-0.0006863540018857226,2,2
hardware_coverage_Q5000,4,0.021531709806823274,0.021952502221704688,-0.0004207924148814154,1,3
