variant,family,param_count,d_model,layers,nhead,dim_ff,seeds_n,val_nll_mean,val_nll_std,test_kl_mean,test_kl_std,pareto_non_dominated
tiny,transformer,729,8,1,2,16,5,6.995685632747312,0.11671299864151821,0.9832567204178615,0.046839881258376806,1
small,transformer,2481,16,1,2,32,5,6.9501336638244124,0.09951064570531701,1.0548764830470232,0.11635644796983691,1
medium,transformer,9057,32,1,4,64,5,6.936659710623502,0.11579123552910868,1.1196540229638958,0.09181958081809928,1
large,transformer,67969,64,2,4,128,5,7.09395350616243,0.17026385105782815,1.4162390541378165,0.11315518842439992,0
iqp_parity,iqp,24,,1,,,5,6.668534206511593,0.0634363477049844,0.7414900379961126,0.2551485642863311,0
