beta,n,model_key,model_label,seeds_n,KL_pstar_to_q_mean,KL_pstar_to_q_std,TV_mean,TV_std,qH_mean,qH_std,Q80_mean,Q80_std,R_Q10000_mean,R_Q10000_std
0.9,8,iqp_parity,IQP (parity),5,0.9029936378463148,0.11846662327606916,0.47035113469973,0.028776766360899767,0.19140799209550266,0.026133877200365287,437.6,181.81375085509896,0.9924795284181016,0.013666347846637618
0.9,9,iqp_parity,IQP (parity),5,0.8862991880469455,0.08989240062608327,0.4661954533323801,0.010964123654698545,0.11840596891152595,0.011044062182990097,1064.4,178.03100853503022,0.9770705420145461,0.017515937587279973
0.9,10,iqp_parity,IQP (parity),5,0.6838009166729876,0.10969976964276533,0.40071380737437146,0.024893660598004734,0.08724830107947093,0.011793000510270626,2344.2,391.6270675017242,0.9407034597567157,0.019865331955690218
0.9,11,iqp_parity,IQP (parity),5,0.6648788814298762,0.11696302494521679,0.4004460606306324,0.019776573277716585,0.07433253360380264,0.01795337715870152,1934.4,667.567704431543,0.959911576127223,0.030618652958573293
0.9,12,iqp_parity,IQP (parity),5,0.7414900379961126,0.2551485642863311,0.406920817595848,0.031355294979192753,0.06937933028358871,0.017382952561457644,3011.2,538.8967990255647,0.9139108335363932,0.02268828451533787
0.9,8,classical_nnn_fields_parity,Ising+fields (NN+NNN),5,1.3982301566868947,0.07060787077694357,0.6047366703156184,0.009245079040074605,0.08563325849980521,0.004134942823710108,790.8,133.26424876912787,0.9912605039263335,0.00843059173946178
0.9,9,classical_nnn_fields_parity,Ising+fields (NN+NNN),5,1.3233473239537399,0.049699149798821916,0.6098728418670639,0.016950172999270274,0.06629149399640882,0.003131600168157388,1309.0,383.9255136090854,0.9896556045298024,0.014121696447379565
0.9,10,classical_nnn_fields_parity,Ising+fields (NN+NNN),5,1.087085445191858,0.048712057099501785,0.5684987389006837,0.007412397958109219,0.044690233200967974,0.0021209961677470207,3590.0,531.5648596361501,0.9345039078054409,0.025446435147356044
0.9,11,classical_nnn_fields_parity,Ising+fields (NN+NNN),5,1.108845615647942,0.01033660266611756,0.5750856698687983,0.0041647724344154174,0.03849262967512596,0.0015749495242562083,3671.6,409.2630449967356,0.9260278574866103,0.013611306751845097
0.9,12,classical_nnn_fields_parity,Ising+fields (NN+NNN),5,1.1565744654970418,0.06022792811309383,0.5843387390144963,0.008869828139697538,0.03962437706985743,0.004408877789922111,5021.2,1012.9310736669105,0.8887931987165271,0.020036215895798546
