n,model_key,q_holdout,R_Q10000,seed
12,d3pm_standard,0.0286,0.8246405984821983,101
12,d3pm_standard,0.023219999999999998,0.8316403681521575,102
12,d3pm_standard,0.029049999999999996,0.731857164257898,103
12,d3pm_standard,0.031310000000000004,0.8332665612101076,104
12,d3pm_standard,0.033100000000000004,0.7818976214408299,105
12,d3pm_standard,0.02913,0.8504661315107824,106
12,d3pm_standard,0.031000000000000003,0.7776672587132935,107
12,d3pm_standard,0.0191,0.6156721652849667,108
12,d3pm_standard,0.042449999999999995,0.655972310917751,109
12,d3pm_standard,0.03490000000000001,0.770272261464944,110
12,d3pm_standard,0.033249999999999995,0.7077654178476026,111
12,d3pm_standard,0.02821,0.7851169466402756,112
