model_key,model_label,KL_pstar_to_q,BSHS,TV_score,Composite,beta,seed,q_eval,holdout_mode,train_m,sigma,K
iqp_parity_mse,IQP (parity),0.6922126677219578,0.6538440784192536,0.15695447460963377,0.5512203246143396,0.9,101,1000,global,200,1.0,512
classical_nnn_fields_parity,Ising NN+NNN,1.317015834621151,0.5866249007059953,0.18478404349353805,0.4782259795395462,0.9,101,1000,global,200,1.0,512
classical_dense_fields_xent,Dense Ising,1.1384220498502604,0.6196579343775563,0.17794997437013177,0.5093898208368214,0.9,101,1000,global,200,1.0,512
classical_transformer_mle,AR Transf.,1.9563836282538538,0.4974132291782779,0.1480712664400347,0.42376062238982304,0.9,101,1000,global,200,1.0,512
classical_maxent_parity,MaxEnt,1.8647628931789184,0.5501496216212047,0.16972002375876857,0.45677821476877634,0.9,101,1000,global,200,1.0,512
iqp_parity_mse,IQP (parity),0.5184712595694034,0.6992832880854234,0.1710473414106169,0.5796727407655372,0.9,102,1000,global,200,1.0,512
classical_nnn_fields_parity,Ising NN+NNN,1.11874077477788,0.6224043498057719,0.15058653761406104,0.5286786337725898,0.9,102,1000,global,200,1.0,512
classical_dense_fields_xent,Dense Ising,1.1473340066830884,0.6304469777328384,0.15386254737057903,0.5334447997567812,0.9,102,1000,global,200,1.0,512
classical_transformer_mle,AR Transf.,1.5640660437530998,0.5300742844129049,0.15503067018577896,0.44789651285212506,0.9,102,1000,global,200,1.0,512
classical_maxent_parity,MaxEnt,2.133318641748605,0.5191186079059911,0.130873331691277,0.45117982614639635,0.9,102,1000,global,200,1.0,512
iqp_parity_mse,IQP (parity),0.8448691687823404,0.6816412638251985,0.19904532603252462,0.5459637562298897,0.9,103,1000,global,200,1.0,512
classical_nnn_fields_parity,Ising NN+NNN,1.101965294798124,0.6347100922520326,0.167709358781997,0.528263269667982,0.9,103,1000,global,200,1.0,512
classical_dense_fields_xent,Dense Ising,1.177981508692982,0.6378511520267219,0.18150759177953715,0.5220763255085482,0.9,103,1000,global,200,1.0,512
