beta,model_key,model_label,qH,qH_ratio,Q80,Q80_pred,R_Q1000,R_Q10000,fit_tv_to_pstar,fit_kl_pstar_to_q,fit_js_dist_to_pstar,fit_prob_mse_to_pstar,holdout_size,p_star_holdout,sigma,K,seed,train_m
1.4,iqp_parity_mse,IQP (parity),0.16647944853859242,14.20624627529322,213.0,116.0098445708877,0.954621519842244,0.9999991211945319,0.6782062480071933,1.680771909093222,0.5766258845601091,0.0001729858651510882,12.0,0.8000826095639452,2.0,128.0,46.0,500.0
1.4,iqp_prob_mse,IQP (prob-MSE),0.025974172523780162,2.2164627220292403,2661.0,743.5561202778383,0.6455106528977058,0.9121031578049265,0.8648067779570403,3.9296349667226647,0.7135819018217464,0.0001981400803134738,12.0,0.8000826095639452,2.0,128.0,46.0,500.0
1.4,classical_nnn_fields_parity,Ising+fields (NN+NNN),0.06869602019479747,5.86206038995605,607.0,281.14081273476523,0.8706022035376475,0.9864155940136793,0.7858914263938498,2.3573525669418327,0.6648604179710677,0.00018362101559508577,12.0,0.8000826095639452,2.0,128.0,46.0,500.0
1.4,classical_dense_fields_xent,Dense Ising+fields (xent),0.048495114202203815,4.1382497452547256,434.0,398.25156135690736,0.9679091413566673,0.9999999999961638,0.7674398999712551,2.807731037138597,0.6652887438165416,0.00019396229049040262,12.0,0.8000826095639452,2.0,128.0,46.0,500.0
1.4,classical_transformer_mle,AR Transformer (MLE),0.023812128590970406,2.0319683064294747,22413.0,811.0679763644825,0.4460769067471751,0.7625608379724446,0.7823822762024067,7.883849358428456,0.685923641102798,0.00020180801308963844,12.0,0.8000826095639452,2.0,128.0,46.0,500.0
1.4,classical_maxent_parity,"MaxEnt parity (P,z)",0.06504643628803816,5.55062922991259,353.0,296.9148819112301,0.9781902449258276,0.9999999999923412,0.7634369325089836,2.3979157826859345,0.6559529053897187,0.0001881672490891593,12.0,0.8000826095639452,2.0,128.0,46.0,500.0
