seed,curve_key,Q,R_Q,n_aggregated_seeds
"111,112,113,114",target,0,0.0,4
"111,112,113,114",uniform,0,0.0,4
"111,112,113,114",spectral,0,0.0,4
"111,112,113,114",parity_sim,0,0.0,4
"111,112,113,114",parity_hw,0,0.0,4
"111,112,113,114",mse_sim,0,0.0,4
"111,112,113,114",mse_hw,0,0.0,4
"111,112,113,114",target,1,0.001532837622785956,4
"111,112,113,114",uniform,1,0.000244140625,4
"111,112,113,114",spectral,1,0.0007928048042064363,4
"111,112,113,114",parity_sim,1,0.001489064092902761,4
"111,112,113,114",parity_hw,1,0.0008380485982271592,4
"111,112,113,114",mse_sim,1,0.0014859095841881042,4
"111,112,113,114",mse_hw,1,0.000822282948532937,4
"111,112,113,114",target,2,0.0030617040931053344,4
"111,112,113,114",uniform,2,0.0004882216453552246,4
"111,112,113,114",spectral,2,0.0015847487794567261,4
"111,112,113,114",parity_sim,2,0.0029713802565062616,4
"111,112,113,114",parity_hw,2,0.001674407250833131,4
"111,112,113,114",mse_sim,2,0.0029652945516371047,4
"111,112,113,114",mse_hw,2,0.0016428444463254675,4
"111,112,113,114",target,3,0.004586616384355532,4
"111,112,113,114",uniform,3,0.0007322430756175891,4
"111,112,113,114",spectral,3,0.002375833018956921,4
"111,112,113,114",parity_sim,3,0.004447005117042508,4
"111,112,113,114",parity_hw,3,0.002509081717690748,4
"111,112,113,114",mse_sim,3,0.004438207570797661,4
"111,112,113,114",mse_hw,3,0.002461691417932765,4
"111,112,113,114",target,4,0.006107591369254722,4
"111,112,113,114",uniform,4,0.0009762049303354559,4
"111,112,113,114",spectral,4,0.003166058614367071,4
"111,112,113,114",parity_sim,4,0.005915994633988703,4
"111,112,113,114",parity_hw,4,0.0033420777320065133,4
"111,112,113,114",mse_sim,4,0.0059047007453637,4
"111,112,113,114",mse_hw,4,0.0032788307484891274,4
"111,112,113,114",target,5,0.0076246458205439195,4
"111,112,113,114",uniform,5,0.0012201072240536348,4
"111,112,113,114",spectral,5,0.0039554266558035674,4
"111,112,113,114",parity_sim,5,0.007378404109380777,4
"111,112,113,114",parity_hw,5,0.004173401000466902,4
"111,112,113,114",mse_sim,5,0.007364825621155306,4
"111,112,113,114",mse_hw,5,0.004094269283973868,4
"111,112,113,114",target,6,0.009137796411683205,4
"111,112,113,114",uniform,6,0.001463949971313383,4
"111,112,113,114",spectral,6,0.004743938231841534,4
"111,112,113,114",parity_sim,6,0.008834288196985163,4
"111,112,113,114",parity_hw,6,0.005003057203383713,4
"111,112,113,114",mse_sim,6,0.008818633192912113,4
"111,112,113,114",mse_hw,6,0.004908013831475249,4
"111,112,113,114",target,7,0.01064705971754344,4
"111,112,113,114",uniform,7,0.0017077331866524048,4
"111,112,113,114",spectral,7,0.005531594429517174,4
"111,112,113,114",parity_sim,7,0.010283700911331062,4
"111,112,113,114",parity_hw,7,0.005831051994838544,4
"111,112,113,114",mse_sim,7,0.010266173910998488,4
"111,112,113,114",mse_hw,7,0.005720071159452391,4
"111,112,113,114",target,8,0.012152452215092096,4
"111,112,113,114",uniform,8,0.001951456884604852,4
"111,112,113,114",spectral,8,0.006318396334330133,4
"111,112,113,114",parity_sim,8,0.011726695636605486,4
"111,112,113,114",parity_hw,8,0.006657391002826187,4
"111,112,113,114",mse_sim,8,0.011707497688021571,4
"111,112,113,114",mse_hw,8,0.006530447997995093,4
"111,112,113,114",target,9,0.0136539902840746,4
"111,112,113,114",uniform,9,0.0021951210797014342,4
"111,112,113,114",spectral,9,0.007104345030245841,4
"111,112,113,114",parity_sim,9,0.01316332513541315,4
"111,112,113,114",parity_hw,9,0.007482079829397671,4
"111,112,113,114",mse_sim,9,0.013142653905363448,4
"111,112,113,114",mse_hw,9,0.0073391510390821675,4
"111,112,113,114",target,10,0.015151690207689975,4
"111,112,113,114",uniform,10,0.002438725786469087,4
"111,112,113,114",spectral,10,0.007889441599697877,4
"111,112,113,114",parity_sim,10,0.014593641557403496,4
"111,112,113,114",parity_hw,10,0.008305124050801808,4
"111,112,113,114",mse_sim,10,0.014571691419628583,4
"111,112,113,114",mse_hw,10,0.008146186936837317,4
"111,112,113,114",target,11,0.016645568173262234,4
"111,112,113,114",uniform,11,0.0026822710194314148,4
"111,112,113,114",spectral,11,0.008673687123590307,4
"111,112,113,114",parity_sim,11,0.016017696447766815,4
"111,112,113,114",parity_hw,11,0.009126529217626531,4
"111,112,113,114",mse_sim,11,0.015994658569007635,4
"111,112,113,114",mse_hw,11,0.00895156230778369,4
"111,112,113,114",target,12,0.018135640272905783,4
"111,112,113,114",uniform,12,0.0029257567931082473,4
"111,112,113,114",spectral,12,0.009457082681300027,4
"111,112,113,114",parity_sim,12,0.017435540755601713,4
"111,112,113,114",parity_hw,12,0.009946300854938743,4
"111,112,113,114",mse_sim,12,0.01741160317955878,4
"111,112,113,114",mse_hw,12,0.009755283731095968,4
"111,112,113,114",target,13,0.019621922504186713,4
