seed,curve_key,Q,R_Q
114,target,0,0.0
114,uniform,0,0.0
114,spectral,0,0.0
114,parity_sim,0,0.0
114,parity_hw,0,0.0
114,mse_sim,0,0.0
114,mse_hw,0,0.0
114,target,1,0.0014284789957802065
114,uniform,1,0.000244140625
114,spectral,1,0.0007538562278015246
114,parity_sim,1,0.0013049546388270116
114,parity_hw,1,0.0007599999999999919
114,mse_sim,1,0.0012695129477211019
114,mse_hw,1,0.0006711111111110989
114,target,2,0.002854063661694705
114,uniform,2,0.0004882216453552246
114,spectral,2,0.0015069434049894675
114,parity_sim,2,0.0026058618836628696
114,parity_hw,2,0.0015189125925925658
114,mse_sim,2,0.0025354629281974356
114,mse_hw,2,0.001341393333333301
114,target,3,0.004276761403659893
114,uniform,3,0.0007322430756175891
114,spectral,3,0.0022592624381071796
114,parity_sim,3,0.003902739786954394
114,parity_hw,3,0.002276739911599986
114,mse_sim,3,0.003797866092552806
114,mse_hw,3,0.0020108482333332984
114,target,4,0.00569657960615889
114,uniform,4,0.0009762049303354559
114,spectral,4,0.0030108142325185865
114,parity_sim,4,0.005195606301566375
114,parity_hw,4,0.003033484085859353
114,mse_sim,4,0.005056738493266814
114,mse_hw,4,0.002679477373899654
114,target,5,0.0071135256323074485
114,uniform,5,0.0012201072240536348
114,spectral,5,0.003761599692409811
114,parity_sim,5,0.006484479281421743
114,parity_hw,5,0.003789147239235698
114,mse_sim,5,0.0063120960848878456
114,mse_hw,5,0.003347282313953994
114,target,6,0.008527606823919068
114,uniform,6,0.001463949971313383
114,spectral,6,0.004511619720790817
114,parity_sim,6,0.007769376482137099
114,parity_hw,6,0.004543731490634924
114,mse_sim,6,0.0075639547247404945
114,mse_hw,6,0.004014264608562259
114,target,7,0.009938830501570529
114,uniform,7,0.0017077331866524048
114,spectral,7,0.0052608752194970975
114,parity_sim,7,0.009050315561653716
114,parity_hw,7,0.005297238954016743
114,mse_sim,7,0.008812330173627429
114,mse_hw,7,0.004680425808945786
114,target,8,0.011347203964666675
114,uniform,8,0.001951456884604852
114,spectral,8,0.0060093670891912645
114,parity_sim,8,0.010327314080864
114,parity_hw,8,0.0060496717384073105
114,mse_sim,8,0.010057238096525577
114,mse_hw,8,0.005345767462492197
114,target,9,0.01275273449150541
114,uniform,9,0.0021951210797014342
114,spectral,9,0.006757096229364715
114,parity_sim,9,0.011600389504233451
114,parity_hw,9,0.006801031947912431
114,mse_sim,9,0.011298694063276995
114,mse_hw,9,0.006010291112766793
114,target,10,0.014155429339342052
114,uniform,10,0.002438725786469087
114,spectral,10,0.0075040635383392465
114,parity_sim,10,0.012869559200418164
114,parity_hw,10,0.007551321681729987
114,mse_sim,10,0.012536713549274112
114,mse_hw,10,0.0066739982995232
114,target,11,0.015555295744454193
114,uniform,11,0.0026822710194314148
114,spectral,11,0.008250269913268722
114,parity_sim,11,0.014134840442877909
114,parity_hw,11,0.00830054303416306
114,mse_sim,11,0.01377131193613964
114,mse_hw,11,0.007336890558714692
114,target,12,0.0169523409222054
114,uniform,12,0.0029257567931082473
114,spectral,12,0.008995716250140664
114,parity_sim,12,0.015396250410484875
114,parity_hw,12,0.009048698094632312
114,mse_sim,12,0.015002504512401134
114,mse_hw,12,0.007998969422504852
114,target,13,0.018346572067109566
114,uniform,13,0.003169183122016195
114,spectral,13,0.009740403443777919
114,parity_sim,13,0.01665380618812784
114,parity_hw,13,0.009795788947688974
114,mse_sim,13,0.016230306474160204
114,mse_hw,13,0.008660236419278674
114,target,14,0.019737996352894496
114,uniform,14,0.0034125500206680925
114,spectral,14,0.010484332387840262
114,parity_sim,14,0.01790752476731239
114,parity_hw,14,0.010541817673027254
114,mse_sim,14,0.017454732925756417
114,mse_hw,14,0.00932069307365327
114,target,15,0.021126620932565864
114,uniform,15,0.0036558575035731122
114,spectral,15,0.011227503974826037
114,parity_sim,15,0.01915742304675651
114,parity_hw,15,0.011286786345497173
114,mse_sim,15,0.018675798880426114
114,mse_hw,15,0.009980340906488909
114,target,17,0.02389549948235814
114,uniform,17,0.004142294280162773
114,spectral,17,0.012711578641763692
114,parity_sim,17,0.021645825840902036
114,parity_hw,17,0.012773551807085776
114,mse_sim,17,0.02110790890033047
114,mse_hw,17,0.011297216172264118
114,target,18,0.0252757676554481
114,uniform,18,0.004385423602848326
114,spectral,18,0.013452483500919626
114,parity_sim,18,0.02288436369440361
114,parity_hw,18,0.013515352721796041
114,mse_sim,18,0.0223189825423772
114,mse_hw,18,0.01195444662823643
114,target,19,0.026653264528487913
114,uniform,19,0.004628493567789049
114,spectral,19,0.014192634561410308
114,parity_sim,19,0.024119147926927036
114,parity_hw,19,0.0142561018348461
114,mse_sim,19,0.023526754842402933
114,mse_hw,19,0.012610874308756709
114,target,20,0.028027997151818574
114,uniform,20,0.004871504189476572
114,spectral,20,0.014932032709951124
114,parity_sim,20,0.02535019498204037
114,parity_hw,20,0.014995801197052499
114,mse_sim,20,0.02473124036782795
114,mse_hw,20,0.013266500716061768
114,target,21,0.029399972555436013
114,uniform,21,0.005114455482399083
114,spectral,21,0.015670678832105756
114,parity_sim,21,0.02657752121401016
114,parity_hw,21,0.015734452854462587
114,mse_sim,21,0.02593245359881396
114,mse_hw,21,0.013921327348695896
114,target,23,0.032135679722163586
114,uniform,23,0.005600180139883615
114,spectral,23,0.017145718533761983
114,parity_sim,23,0.029021076182473522
114,parity_hw,23,0.01720862121531055
114,mse_sim,23,0.02832512066555785
114,mse_hw,23,0.015228587265728715
114,target,25,0.034860441864100034
114,uniform,25,0.006085667656076654
114,spectral,25,0.018617760727914382
114,parity_sim,25,0.031449941901849916
114,parity_hw,25,0.018678623190851465
114,mse_sim,25,0.030704870162319712
114,mse_hw,25,0.016532665974758637
114,target,27,0.03757431449511815
114,uniform,27,0.0065709181467557
114,spectral,27,0.020086812457773023
114,parity_sim,27,0.03386424604869411
114,parity_hw,27,0.020144474979026345
114,mse_sim,27,0.03307181485203175
114,mse_hw,27,0.01783357533228246
114,target,29,0.04027735280949855
114,uniform,29,0.007055931727641851
