seed,curve_key,Q,R_Q,n_aggregated_seeds
112,target,0,0.0,1
112,uniform,0,0.0,1
112,spectral,0,0.0,1
112,parity_sim,0,0.0,1
112,parity_hw,0,0.0,1
112,mse_sim,0,0.0,1
112,mse_hw,0,0.0,1
112,target,1,0.0015850443695064197,1
112,uniform,1,0.000244140625,1
112,spectral,1,0.0007815404457736055,1
112,parity_sim,1,0.0016264290424306204,1
112,parity_hw,1,0.0008643939393939274,1
112,mse_sim,1,0.001515987423458602,1
112,mse_hw,1,0.0008871212121212036,1
112,target,2,0.003165336778274484,1
112,uniform,2,0.0004882216453552246,1
112,spectral,2,0.0015622184392694255,1
112,parity_sim,2,0.003244464490763787,1
112,parity_hw,2,0.0017270344696969381,1
112,mse_sim,2,0.0030244304388390834,1
112,mse_hw,2,0.0017720026515151237,1
112,target,3,0.004740901398044347,1
112,uniform,3,0.0007322430756175891,1
112,spectral,3,0.002342035083296457,1
112,parity_sim,3,0.004854184747040154,1
112,parity_hw,3,0.0025879272651893603,1
112,mse_sim,3,0.004525394204607466,1
112,mse_hw,3,0.002654654630053008,1
112,target,4,0.006311762240308451,1
112,uniform,4,0.0009762049303354559,1
112,spectral,4,0.003120991479122551,1
112,parity_sim,4,0.006455667218311968,1
112,parity_hw,4,0.0034470779764064555,1
112,mse_sim,4,0.006018943162133506,1
112,mse_hw,4,0.003535087399228774,1
112,target,5,0.007877943157490392,1
112,uniform,5,0.0012201072240536348,1
112,spectral,5,0.003899088726476693,1
112,parity_sim,5,0.008048988331408893,1
112,parity_hw,5,0.004304492230252269,1
112,mse_sim,5,0.007505141044586813,1
112,mse_hw,5,0.004413311150545751,1
112,target,6,0.009439467844114209,1
112,uniform,6,0.001463949971313383,1
112,spectral,6,0.004676327923551291,1
112,parity_sim,6,0.009634223547466587,1
112,parity_hw,6,0.005160175630112903,1
112,mse_sim,6,0.008984050885714866,1
112,mse_hw,6,0.0052893360159008505,1
112,target,7,0.010996359837965406,1
112,uniform,7,0.0017077331866524048,1
112,spectral,7,0.005452710167004435,1
112,parity_sim,7,0.011211447376221975,1
112,parity_hw,7,0.006014133755969177,1
112,mse_sim,7,0.010455735028504972,1
112,mse_hw,7,0.006163172067966086,1
112,target,8,0.012548642521242359,1
112,uniform,8,0.001951456884604852,1
112,spectral,8,0.006228236551962209,1
112,parity_sim,8,0.012780733390079253,1
112,parity_hw,8,0.006866372164508496,1
112,mse_sim,8,0.01192025513373132,1
112,mse_hw,8,0.0070348293205674105,1
112,target,9,0.01409633912169958,1
112,uniform,9,0.0021951210797014342,1
112,spectral,9,0.007002908172020941,1
112,parity_sim,9,0.014342154237950272,1
112,parity_hw,9,0.007716896389236648,1
112,mse_sim,9,0.013377672188389061,1
112,mse_hw,9,0.007904317729061456,1
112,target,10,0.015639472713781626,1
112,uniform,10,0.002438725786469087,1
112,spectral,10,0.007776726119249467,1
112,parity_sim,10,0.0158957816588732,1
112,parity_hw,10,0.00856571194058842,1
112,mse_sim,10,0.014828046514016816,1
112,mse_hw,10,0.00877164719070924,1
112,target,11,0.017178066219749107,1
112,uniform,11,0.0026822710194314148,1
112,spectral,11,0.0085496914841914,1
112,parity_sim,11,0.01744168649541313,1
112,parity_hw,11,0.009412824306038228,1
112,mse_sim,11,0.01627143777490919,1
112,mse_hw,11,0.00963682754504788,1
112,target,12,0.018712142410795125,1
112,uniform,12,0.0029257567931082473,1
112,spectral,12,0.0093218053558674,1
112,parity_sim,12,0.01897993870684819,1
112,parity_hw,12,0.01025823895020962,1
112,mse_sim,12,0.017707904986220647,1
112,mse_hw,12,0.01049986857425933,1
112,target,13,0.020241723908154034,1
112,uniform,13,0.003169183122016195,1
112,spectral,13,0.010093068821777431,1
112,parity_sim,13,0.02051060738214511,1
112,parity_hw,13,0.011101961314984744,1
112,mse_sim,13,0.019137506521962663,1
112,mse_hw,13,0.011360780003537133,1
112,target,14,0.021766833184201147,1
112,uniform,14,0.0034125500206680925,1
112,spectral,14,0.010863482967902977,1
112,parity_sim,14,0.022033760752726922,1
112,parity_hw,14,0.011943996819612782,1
112,mse_sim,14,0.020560300122895035,1
112,mse_hw,14,0.012219571501450354,1
112,target,15,0.02328749256354461,1
112,uniform,15,0.0036558575035731122,1
112,spectral,15,0.011633048878709388,1
112,parity_sim,15,0.023549466205037443,1
112,parity_hw,15,0.012784350860818203,1
112,mse_sim,15,0.021976342904313335,1
112,mse_hw,15,0.013076252680305323,1
112,target,17,0.026315550198206212,1
112,uniform,17,0.004142294280162773,1
112,spectral,17,0.013169640324658538,1
112,parity_sim,17,0.026558798749707912,1
112,parity_hw,17,0.014460036027879722,1
112,mse_sim,17,0.024788401388475947,1
112,mse_hw,17,0.014783322250905066,1
112,target,18,0.027822992373610928,1
112,uniform,18,0.004385423602848326,1
112,spectral,18,0.013936668021171139,1
112,parity_sim,18,0.02805255650034967,1
112,parity_hw,18,0.015295377835525908,1
112,mse_sim,18,0.026184528263147894,1
112,mse_hw,18,0.015633729589170003,1
112,target,19,0.029326072494609893,1
112,uniform,19,0.004628493567789049,1
112,spectral,19,0.014702851805108804,1
112,parity_sim,19,0.029539127673038568,1
112,parity_hw,19,0.016129059543541945,1
112,mse_sim,19,0.02757412667702994,1
112,mse_hw,19,0.01648206450212356,1
112,target,20,0.030824812163057602,1
112,uniform,20,0.004871504189476572,1
112,spectral,20,0.01546819275338951,1
112,parity_sim,20,0.031018575610883628,1
112,parity_hw,20,0.01696108643763047,1
112,mse_sim,20,0.028957250731363304,1
112,mse_hw,20,0.017328336326099404,1
112,target,21,0.03231923283941719,1
112,uniform,21,0.005114455482399083,1
112,spectral,21,0.016232691941428474,1
