metric,n_common_seeds,parity_mean,mse_mean,delta_mean,delta_median,delta_ci95,parity_seed_wins,mse_seed_wins,ties
hardware_coverage_Q1000,10,0.06251126479516242,0.05888964890299934,0.0036216158921630903,0.005003004107932408,0.005463501230653713,7,3,0
hardware_coverage_Q2000,10,0.042570814903456336,0.0401318101415343,0.002439004761922035,0.0032710525749111673,0.0029540842025200667,7,3,0
hardware_coverage_Q5000,10,0.021908046097786182,0.02092267582935913,0.0009853702684270518,0.0011183751593174841,0.0010070859235007867,7,3,0
hardware_kl,10,2.761977713595738,2.975637918752097,-0.21366020515635928,-0.34049389984240297,0.4494859928629535,6,4,0
