beta,model_key,model_label,qH,qH_ratio,Q80,Q80_pred,R_Q1000,R_Q10000,fit_tv_to_pstar,fit_kl_pstar_to_q,fit_js_dist_to_pstar,fit_prob_mse_to_pstar,holdout_size,p_star_holdout,sigma,K,seed,train_m
0.8,classical_transformer_mle,AR Transformer (MLE),0.02293114569458547,1.9567910992712934,4201.0,842.22808604672,0.6049717509649545,0.8490839871264583,0.5179167132848655,2.1888635197564525,0.5283228932230323,1.7061774672043376e-05,12.0,0.30295121832687966,2.0,128.0,46.0,500.0
0.8,classical_maxent_parity,"MaxEnt parity (P,z)",0.03552583777958252,3.031538157191042,723.0,543.6396762558252,0.8730962424660285,0.9999605481305579,0.5591813706154075,1.1319335071802783,0.527331696412534,1.5387659717594562e-05,12.0,0.30295121832687966,2.0,128.0,46.0,500.0
1.0,iqp_parity_mse,IQP (parity),0.11447791947085223,9.768782461512723,444.0,168.70724973409952,0.8844770528089403,0.9851945053648761,0.5052509121528092,0.9818552307529945,0.44849821361240805,3.93962807049169e-05,12.0,0.4603158035741957,2.0,128.0,46.0,500.0
1.0,iqp_prob_mse,IQP (prob-MSE),0.025836914049969153,2.204749998930701,2085.0,747.5062583657224,0.673300642838695,0.9522746731135641,0.7011641063166998,2.3352517688644037,0.5907356178939264,4.9986972127725844e-05,12.0,0.4603158035741957,2.0,128.0,46.0,500.0
1.0,classical_nnn_fields_parity,Ising+fields (NN+NNN),0.06300991679870638,5.376846233489611,500.0,306.51135456832907,0.9150722261385033,0.9999961927034137,0.6313062835305359,1.3679182844892903,0.565166812921145,4.282620339486998e-05,12.0,0.4603158035741957,2.0,128.0,46.0,500.0
1.0,classical_dense_fields_xent,Dense Ising+fields (xent),0.04497940457961917,3.838242524127503,480.0,429.3799602220684,0.952148450570493,0.999999998844193,0.5931076689865573,1.4996669484305054,0.5615279315080948,4.556434801541821e-05,12.0,0.4603158035741957,2.0,128.0,46.0,500.0
1.0,classical_transformer_mle,AR Transformer (MLE),0.022383756527407674,1.9100805570054549,9418.0,862.82456323009,0.559845054256877,0.8028934862480436,0.5383603410096836,3.6956380670772315,0.56854931442016,4.906752893964949e-05,12.0,0.4603158035741957,2.0,128.0,46.0,500.0
1.0,classical_maxent_parity,"MaxEnt parity (P,z)",0.049632835157476185,4.235335266771301,485.0,389.1225413162813,0.936918274221214,0.9999989682519557,0.6033884492150658,1.3964814808264678,0.5590801570300767,4.402924774364484e-05,12.0,0.4603158035741957,2.0,128.0,46.0,500.0
1.2,iqp_parity_mse,IQP (parity),0.1293053283825882,11.034054688647528,431.0,149.361632585358,0.9124305388714168,0.9989679597383211,0.5813293653598426,1.3337515671218427,0.5128042713234927,9.303708848380612e-05,12.0,0.6178216599020487,2.0,128.0,46.0,500.0
1.2,iqp_prob_mse,IQP (prob-MSE),0.02597602786180452,2.216621044207319,2538.0,743.5030117752399,0.6551556588546973,0.9350151600840042,0.7930920210210265,3.133809992697993,0.6587097103043322,0.00011076139173226955,12.0,0.6178216599020487,2.0,128.0,46.0,500.0
1.2,classical_nnn_fields_parity,Ising+fields (NN+NNN),0.06549152480491047,5.588610116685693,592.0,294.897011586469,0.8973234966465312,0.9999447773740314,0.6899319447813836,1.6590716204538658,0.6007312604667896,9.561878522168407e-05,12.0,0.6178216599020487,2.0,128.0,46.0,500.0
1.2,classical_dense_fields_xent,Dense Ising+fields (xent),0.047965189436731864,4.093029498601119,472.0,402.65148904882807,0.949627952588497,0.999999987702966,0.6498513635386054,1.9273471708249876,0.6018723959180152,0.00010436941296210709,12.0,0.6178216599020487,2.0,128.0,46.0,500.0
1.2,classical_transformer_mle,AR Transformer (MLE),0.022378452714457923,1.9096279649670762,18827.0,863.0290572650538,0.49327076826175337,0.7638542013457573,0.6342832842712129,5.734055096283759,0.5874383736490973,0.00011350308137471973,12.0,0.6178216599020487,2.0,128.0,46.0,500.0
1.2,classical_maxent_parity,"MaxEnt parity (P,z)",0.05607941974116598,4.785443817912831,480.0,344.3911338303667,0.9294300736056916,0.9999986186252915,0.6619366733683998,1.7446700591996294,0.5965539604697541,0.00010126969862157995,12.0,0.6178216599020487,2.0,128.0,46.0,500.0
1.4,iqp_parity_mse,IQP (parity),0.16647944853859242,14.20624627529322,213.0,116.0098445708877,0.954621519842244,0.9999991211945319,0.6782062480071933,1.680771909093222,0.5766258845601091,0.0001729858651510882,12.0,0.8000826095639452,2.0,128.0,46.0,500.0
1.4,iqp_prob_mse,IQP (prob-MSE),0.025974172523780162,2.2164627220292403,2661.0,743.5561202778383,0.6455106528977058,0.9121031578049265,0.8648067779570403,3.9296349667226647,0.7135819018217464,0.0001981400803134738,12.0,0.8000826095639452,2.0,128.0,46.0,500.0
1.4,classical_nnn_fields_parity,Ising+fields (NN+NNN),0.06869602019479747,5.86206038995605,607.0,281.14081273476523,0.8706022035376475,0.9864155940136793,0.7858914263938498,2.3573525669418327,0.6648604179710677,0.00018362101559508577,12.0,0.8000826095639452,2.0,128.0,46.0,500.0
1.4,classical_dense_fields_xent,Dense Ising+fields (xent),0.048495114202203815,4.1382497452547256,434.0,398.25156135690736,0.9679091413566673,0.9999999999961638,0.7674398999712551,2.807731037138597,0.6652887438165416,0.00019396229049040262,12.0,0.8000826095639452,2.0,128.0,46.0,500.0
1.4,classical_transformer_mle,AR Transformer (MLE),0.023812128590970406,2.0319683064294747,22413.0,811.0679763644825,0.4460769067471751,0.7625608379724446,0.7823822762024067,7.883849358428456,0.685923641102798,0.00020180801308963844,12.0,0.8000826095639452,2.0,128.0,46.0,500.0
1.4,classical_maxent_parity,"MaxEnt parity (P,z)",0.06504643628803816,5.55062922991259,353.0,296.9148819112301,0.9781902449258276,0.9999999999923412,0.7634369325089836,2.3979157826859345,0.6559529053897187,0.0001881672490891593,12.0,0.8000826095639452,2.0,128.0,46.0,500.0
