beta,n,seed,model_key,model_label,train_m,sigma,K,iqp_steps,classical_steps,transformer_variant,transformer_d_model,transformer_heads,transformer_layers,transformer_dim_ff,transformer_epochs,maxent_steps,KL_pstar_to_q
0.9,8,120,classical_nnn_fields_parity,Ising+fields (NN+NNN),200,1.0,512,600,600,medium,32,4,1,64,600,600,0.820242864851664
0.9,8,120,classical_dense_fields_xent,Dense Ising+fields (xent),200,1.0,512,600,600,medium,32,4,1,64,600,600,0.8237435663613479
0.9,8,120,classical_transformer_mle,AR Transformer (MLE),200,1.0,512,600,600,medium,32,4,1,64,600,600,0.22018343887301628
0.9,8,120,classical_maxent_parity,"MaxEnt parity (P,z)",200,1.0,512,600,600,medium,32,4,1,64,600,600,0.9139787284812653
0.9,9,111,iqp_parity_mse,IQP (parity),200,1.0,512,600,600,medium,32,4,1,64,600,600,0.2541565940103236
0.9,9,111,classical_nnn_fields_parity,Ising+fields (NN+NNN),200,1.0,512,600,600,medium,32,4,1,64,600,600,0.8658694886491802
0.9,9,111,classical_dense_fields_xent,Dense Ising+fields (xent),200,1.0,512,600,600,medium,32,4,1,64,600,600,0.8762188451701567
0.9,9,111,classical_transformer_mle,AR Transformer (MLE),200,1.0,512,600,600,medium,32,4,1,64,600,600,0.5417846140707154
0.9,9,111,classical_maxent_parity,"MaxEnt parity (P,z)",200,1.0,512,600,600,medium,32,4,1,64,600,600,1.1011014109427681
0.9,9,112,iqp_parity_mse,IQP (parity),200,1.0,512,600,600,medium,32,4,1,64,600,600,0.3142452458648596
0.9,9,112,classical_nnn_fields_parity,Ising+fields (NN+NNN),200,1.0,512,600,600,medium,32,4,1,64,600,600,1.0112938771023225
0.9,9,112,classical_dense_fields_xent,Dense Ising+fields (xent),200,1.0,512,600,600,medium,32,4,1,64,600,600,0.9315066282409324
0.9,9,112,classical_transformer_mle,AR Transformer (MLE),200,1.0,512,600,600,medium,32,4,1,64,600,600,0.5705349778133568
0.9,9,112,classical_maxent_parity,"MaxEnt parity (P,z)",200,1.0,512,600,600,medium,32,4,1,64,600,600,1.7545487914252036
0.9,9,113,iqp_parity_mse,IQP (parity),200,1.0,512,600,600,medium,32,4,1,64,600,600,0.29973411766205904
0.9,9,113,classical_nnn_fields_parity,Ising+fields (NN+NNN),200,1.0,512,600,600,medium,32,4,1,64,600,600,0.9712190038354146
0.9,9,113,classical_dense_fields_xent,Dense Ising+fields (xent),200,1.0,512,600,600,medium,32,4,1,64,600,600,0.9161054284980465
0.9,9,113,classical_transformer_mle,AR Transformer (MLE),200,1.0,512,600,600,medium,32,4,1,64,600,600,0.6655730836064921
0.9,9,113,classical_maxent_parity,"MaxEnt parity (P,z)",200,1.0,512,600,600,medium,32,4,1,64,600,600,1.4217790935160868
0.9,9,114,iqp_parity_mse,IQP (parity),200,1.0,512,600,600,medium,32,4,1,64,600,600,0.29697905734173785
0.9,9,114,classical_nnn_fields_parity,Ising+fields (NN+NNN),200,1.0,512,600,600,medium,32,4,1,64,600,600,0.8636162877754523
0.9,9,114,classical_dense_fields_xent,Dense Ising+fields (xent),200,1.0,512,600,600,medium,32,4,1,64,600,600,0.8630170598916218
0.9,9,114,classical_transformer_mle,AR Transformer (MLE),200,1.0,512,600,600,medium,32,4,1,64,600,600,0.5139110266632743
0.9,9,114,classical_maxent_parity,"MaxEnt parity (P,z)",200,1.0,512,600,600,medium,32,4,1,64,600,600,1.1286526449828722
