n,beta,model_key,model_label,n_seeds,min,q1,median,mean,std,ci95,q3,max
10,0.9,iqp_parity_mse,IQP (parity),10,0.2807105551763473,0.3120438745852135,0.33767619985385905,0.3451124300872159,0.0472231736347053,0.03377907642557096,0.3766670199095846,0.41986180881274865
10,0.9,classical_nnn_fields_parity,Ising+fields (NN+NNN),10,0.9043566007140156,0.9266304196729658,0.9806494108376848,0.9799364986637407,0.05806691410472466,0.041535682131686506,1.0129487102869184,1.0728243586887465
10,0.9,classical_dense_fields_xent,Dense Ising+fields (xent),10,0.9206313312891261,0.9447322720889045,0.969639242820505,0.9737906343205351,0.03799666652940418,0.027179289400202707,0.9938041590045812,1.0425680755968771
10,0.9,classical_transformer_mle,AR Transformer (MLE),10,0.6159574836971403,0.6740144453279866,0.7195314868472433,0.7308976119345095,0.08204250740764045,0.05868559680689179,0.802247087862327,0.8464868229500004
10,0.9,classical_maxent_parity,"MaxEnt parity (P,z)",10,1.3167014665733157,1.4195328037762815,1.7065294282322716,1.777456374170475,0.5217902249087615,0.3732403082785502,1.8564497270388824,3.1056037372275336
11,0.9,iqp_parity_mse,IQP (parity),10,0.3489376214493325,0.36442449118561104,0.4014233368183139,0.4188530692973126,0.0728126857279252,0.052083438842557866,0.4429588622569273,0.5857284614971309
11,0.9,classical_nnn_fields_parity,Ising+fields (NN+NNN),10,0.9124385035555792,0.9851370270101194,1.0277490533557385,1.0286246679095175,0.07005716428288551,0.050112394494621675,1.072783166575113,1.1484615295886431
11,0.9,classical_dense_fields_xent,Dense Ising+fields (xent),10,0.9442147652835586,1.0067723170700749,1.0340147694190898,1.0319548333054984,0.053917458410578434,0.03856754656965652,1.0576227281891204,1.1165361488320333
11,0.9,classical_transformer_mle,AR Transformer (MLE),10,0.6608158684954688,0.7676700712255355,0.7882859156602642,0.8020997531497811,0.08296205511403008,0.05934335590820442,0.8446534674576561,0.948220643523053
11,0.9,classical_maxent_parity,"MaxEnt parity (P,z)",10,1.3609636318764033,1.7601125234398192,2.1603735742078003,2.1688161501145684,0.5985385044288403,0.42813890572339774,2.2476578457571534,3.195538445987062
12,0.9,iqp_parity_mse,IQP (parity),10,0.38189240997465035,0.41660238852373327,0.44687230914796633,0.4515499628932399,0.044624090290098437,0.03191993337828153,0.49090702705494005,0.5162541471641444
12,0.9,classical_nnn_fields_parity,Ising+fields (NN+NNN),10,0.9526834193641597,1.0136229716466083,1.051553002708138,1.082288963271028,0.10080338072402886,0.07210538469465462,1.1596805409139763,1.2251992193327452
12,0.9,classical_dense_fields_xent,Dense Ising+fields (xent),10,1.0038560682567819,1.0689482907079426,1.0783786008306337,1.0881634657251127,0.052140554967382485,0.037296514731074946,1.0924789233740966,1.201573014467717
12,0.9,classical_transformer_mle,AR Transformer (MLE),10,0.6817119084699226,0.797248479381524,0.8237530432475662,0.8377267369108526,0.0996556486776584,0.07128440369049076,0.8807676083840413,1.0485829882510576
12,0.9,classical_maxent_parity,"MaxEnt parity (P,z)",10,1.688483715976206,2.016627550319367,2.1889791606806206,2.2363982454297577,0.46029730435701677,0.32925397904500653,2.3472749722252804,3.306222055503942
13,0.9,iqp_parity_mse,IQP (parity),10,0.3912824941514266,0.5041066873887331,0.5294135349494411,0.5270250714981569,0.0847775422694722,0.060641986954218075,0.5774858362335693,0.641951406562181
13,0.9,classical_nnn_fields_parity,Ising+fields (NN+NNN),10,1.022744050916642,1.0694996615232586,1.0870555899095882,1.117943565937027,0.07937183581404086,0.056775246169180685,1.16777400180671,1.2746864605302382
13,0.9,classical_dense_fields_xent,Dense Ising+fields (xent),10,1.0805009462974673,1.1372663452153122,1.1527451490425245,1.1495314237618044,0.03872066727816997,0.02769717235347286,1.1703555079321901,1.2071869928612857
13,0.9,classical_transformer_mle,AR Transformer (MLE),10,0.7651651686901856,0.8346713654530475,0.9289163130709867,0.927783638655408,0.12218978931738235,0.08740323688755464,1.0117707366057378,1.1476402912203159
13,0.9,classical_maxent_parity,"MaxEnt parity (P,z)",10,1.7353197944784984,2.1308925520198523,2.2970128158903327,2.323948366132216,0.34030005202158703,0.24341907966166484,2.616425606889929,2.805597029403511
14,0.9,iqp_parity_mse,IQP (parity),10,0.45171810667217877,0.5247748764733933,0.6000597708840674,0.6167684618917806,0.1488779588158354,0.10649347686423222,0.6419119222893955,0.9904010978341112
14,0.9,classical_nnn_fields_parity,Ising+fields (NN+NNN),10,1.0986227281758907,1.133686540199334,1.1862925041726746,1.1864270880916916,0.0628450625975108,0.04495352618340294,1.2313380943660088,1.2744190098717498
14,0.9,classical_dense_fields_xent,Dense Ising+fields (xent),10,1.170940747628146,1.189114275235682,1.208567954044419,1.2182745347878687,0.04564913897443732,0.032653158089438326,1.2263720816719657,1.3304219791233873
14,0.9,classical_transformer_mle,AR Transformer (MLE),10,0.8586294370078348,0.962020999831988,0.9918363708951133,0.9860396197583248,0.06160761257395462,0.044068369263584886,1.0230024771276156,1.0667526127419702
14,0.9,classical_maxent_parity,"MaxEnt parity (P,z)",10,2.0468543322828183,2.2205711795589753,2.6522820659360495,2.721642398317095,0.5996836379942414,0.42895802801539773,3.072670247914188,3.9050458239983934
15,0.9,iqp_parity_mse,IQP (parity),10,0.5351657476259399,0.589076531123354,0.6376284255875451,0.6695980461391396,0.10253749838285989,0.07334581155333436,0.7742391614581011,0.7949617038544614
15,0.9,classical_nnn_fields_parity,Ising+fields (NN+NNN),10,1.1112586431254519,1.1946514480681079,1.2659392763286763,1.2555408869606512,0.09081312694602199,0.06495928417018382,1.3265452615337088,1.367639007513287
15,0.9,classical_dense_fields_xent,Dense Ising+fields (xent),10,1.204411805404662,1.2453220788155863,1.266031850963241,1.277356876354769,0.05182548052737908,0.03707113971348406,1.3094371484748155,1.384856995828764
15,0.9,classical_transformer_mle,AR Transformer (MLE),10,0.8780944800081016,0.9166702495103899,0.9573088729239835,0.9894928855124785,0.09560782436298815,0.06838896578662985,1.0593700459522788,1.1536072420824346
15,0.9,classical_maxent_parity,"MaxEnt parity (P,z)",10,1.8706738813848927,2.0439951908454765,2.2505742800794977,2.333680869079589,0.36612883972622856,0.2618945976478964,2.522794387019794,2.9916396291991827
16,0.9,iqp_parity_mse,IQP (parity),10,0.6323023728986441,0.7381746266587559,0.8114751045266693,0.8102236874430304,0.10854752788736637,0.07764482897056829,0.884686925287924,0.9574207352157893
16,0.9,classical_nnn_fields_parity,Ising+fields (NN+NNN),10,1.145123337001404,1.2609511062422754,1.3321739778322894,1.341017762634688,0.12468313406181236,0.08918674435210802,1.3750870739137797,1.571299547195371
16,0.9,classical_dense_fields_xent,Dense Ising+fields (xent),10,1.2786285185994801,1.3436355231161843,1.3812669885003288,1.3855610706158825,0.07041093444487131,0.050365448841016194,1.4357796726189025,1.5063233795433757
16,0.9,classical_transformer_mle,AR Transformer (MLE),10,0.8681796148712514,0.978666006811419,1.077951702570271,1.1135535198319964,0.19016679524934801,0.13602767912262356,1.2340193842071647,1.4832550082095772
16,0.9,classical_maxent_parity,"MaxEnt parity (P,z)",10,2.1406076782201273,2.4069840017579205,2.6414073960469238,2.6121055430952893,0.2728871938009286,0.1951981763501542,2.8454129447192216,2.9628223171307457
17,0.9,iqp_parity_mse,IQP (parity),10,0.6670794600162786,0.8293554972451131,0.8713919819694562,0.8682921541950614,0.12104722662848719,0.08658595356204703,0.9287090811036959,1.0704818424671627
17,0.9,classical_nnn_fields_parity,Ising+fields (NN+NNN),10,1.2271289562920704,1.3640236039542954,1.4504058467216603,1.4319369322608833,0.1107289735078744,0.07920523274400748,1.5234099733794757,1.5783956890880197
