seed_group,curve_key,Q,mean_R_Q,std_R_Q,n_aggregated_seeds
"111,112,113,114,115,116,117,118,119,120",target,0,0.0,0.0,10
"111,112,113,114,115,116,117,118,119,120",uniform,0,0.0,0.0,10
"111,112,113,114,115,116,117,118,119,120",spectral,0,0.0,0.0,10
"111,112,113,114,115,116,117,118,119,120",parity_sim,0,0.0,0.0,10
"111,112,113,114,115,116,117,118,119,120",parity_hw,0,0.0,0.0,10
"111,112,113,114,115,116,117,118,119,120",mse_sim,0,0.0,0.0,10
"111,112,113,114,115,116,117,118,119,120",mse_hw,0,0.0,0.0,10
"111,112,113,114,115,116,117,118,119,120",target,1,0.0015655250447401607,0.00010165737687047563,10
"111,112,113,114,115,116,117,118,119,120",uniform,1,0.000244140625,0.0,10
"111,112,113,114,115,116,117,118,119,120",spectral,1,0.0,0.0,10
"111,112,113,114,115,116,117,118,119,120",parity_sim,1,0.0015576312123684512,0.0001351273817827871,10
"111,112,113,114,115,116,117,118,119,120",parity_hw,1,0.0009399539664335816,0.00018138334035084543,10
"111,112,113,114,115,116,117,118,119,120",mse_sim,1,0.0014823356291228714,0.00015090253251131116,10
"111,112,113,114,115,116,117,118,119,120",mse_hw,1,0.000905692580018155,0.00014878048160527267,10
"111,112,113,114,115,116,117,118,119,120",target,2,0.003126593938221229,0.00020198952843949487,10
"111,112,113,114,115,116,117,118,119,120",uniform,2,0.0004882216453552246,0.0,10
"111,112,113,114,115,116,117,118,119,120",spectral,2,0.0,0.0,10
"111,112,113,114,115,116,117,118,119,120",parity_sim,2,0.003108179977735588,0.00026814262240283573,10
"111,112,113,114,115,116,117,118,119,120",parity_hw,2,0.0018775420903962147,0.00036172344946859824,10
"111,112,113,114,115,116,117,118,119,120",mse_sim,2,0.0029574030466829942,0.000299553063461978,10
"111,112,113,114,115,116,117,118,119,120",mse_hw,2,0.0018090500827331404,0.00029679417209434785,10
"111,112,113,114,115,116,117,118,119,120",target,3,0.004683230654886684,0.0003010159550655026,10
"111,112,113,114,115,116,117,118,119,120",uniform,3,0.0007322430756175891,0.0,10
"111,112,113,114,115,116,117,118,119,120",spectral,3,0.0,0.0,10
"111,112,113,114,115,116,117,118,119,120",parity_sim,3,0.004651707852977338,0.00039908684856123706,10
"111,112,113,114,115,116,117,118,119,120",parity_hw,3,0.0028127757988377915,0.000541028472816151,10
"111,112,113,114,115,116,117,118,119,120",mse_sim,3,0.004425270807353272,0.0004460003058081729,10
"111,112,113,114,115,116,117,118,119,120",mse_hw,3,0.0027100836504977558,0.00044404848178219856,10
"111,112,113,114,115,116,117,118,119,120",target,4,0.0062354589555646414,0.00039875583616720735,10
