model_key,model_label,KL_pstar_to_q,BSHS,TV_score,Composite,beta,seed,q_eval,holdout_mode,train_m,sigma,K
iqp_parity_mse,IQP (parity),0.6288589272737385,0.6584472885953411,0.15440964401438853,0.5567766771610951,0.9,101,1000,global,200,1.0,512
classical_nnn_fields_parity,Ising NN+NNN,1.3153205366734946,0.5866648930057595,0.18502424494709793,0.4781176641403989,0.9,101,1000,global,200,1.0,512
classical_dense_fields_xent,Dense Ising,1.139046309675116,0.6197425283376228,0.17873716858853006,0.5089715035686593,0.9,101,1000,global,200,1.0,512
classical_transformer_mle,AR Transf.,1.2156365595317677,0.5777859630685624,0.2075009824872717,0.4578948080644813,0.9,101,1000,global,200,1.0,512
classical_maxent_parity,MaxEnt,1.8818335992100725,0.5501299065628376,0.1697074739996595,0.4567687497483897,0.9,101,1000,global,200,1.0,512
iqp_parity_mse,IQP (parity),0.5550643259076544,0.693680918251822,0.17143147315350724,0.5747621765374346,0.9,102,1000,global,200,1.0,512
classical_nnn_fields_parity,Ising NN+NNN,1.118453083757492,0.6223826689357809,0.15088798640359086,0.5284726012475682,0.9,102,1000,global,200,1.0,512
classical_dense_fields_xent,Dense Ising,1.1502812565386402,0.6301228854868682,0.15331571222685714,0.5335151465080067,0.9,102,1000,global,200,1.0,512
classical_transformer_mle,AR Transf.,1.1933845358083257,0.5904855923496677,0.1591968508372108,0.4964821455828556,0.9,102,1000,global,200,1.0,512
classical_maxent_parity,MaxEnt,2.13858533974605,0.5203918775318912,0.16713773869964782,0.4334147558835469,0.9,102,1000,global,200,1.0,512
iqp_parity_mse,IQP (parity),0.9832440292375648,0.6560766854188249,0.20272813259974973,0.5230714841416331,0.9,103,1000,global,200,1.0,512
classical_nnn_fields_parity,Ising NN+NNN,1.1011786865254805,0.6350002416496644,0.1699132204056037,0.5271053056326334,0.9,103,1000,global,200,1.0,512
classical_dense_fields_xent,Dense Ising,1.1747701174214766,0.6375095846439343,0.17856336944977622,0.5236737251533861,0.9,103,1000,global,200,1.0,512
classical_transformer_mle,AR Transf.,1.4125189488896424,0.5439122854739256,0.1467380350247028,0.4640996654776865,0.9,103,1000,global,200,1.0,512
classical_maxent_parity,MaxEnt,2.467067130146546,0.5520922606908839,0.12241277202760054,0.4845091166447282,0.9,103,1000,global,200,1.0,512
iqp_parity_mse,IQP (parity),0.49139612046465503,0.7012832480384654,0.131364175836056,0.60915975213226,0.9,104,1000,global,200,1.0,512
classical_nnn_fields_parity,Ising NN+NNN,1.1426332565465127,0.6154153749309876,0.13757176042171204,0.5307515984111437,0.9,104,1000,global,200,1.0,512
classical_dense_fields_xent,Dense Ising,1.2377722065188477,0.6231134279388179,0.15183625809012788,0.5285022166748752,0.9,104,1000,global,200,1.0,512
classical_transformer_mle,AR Transf.,1.4302281211370644,0.5520559960813366,0.13126429934252792,0.4795907525578786,0.9,104,1000,global,200,1.0,512
classical_maxent_parity,MaxEnt,2.6349765300960937,0.5392303406962214,0.1300155708099846,0.46912200015253974,0.9,104,1000,global,200,1.0,512
iqp_parity_mse,IQP (parity),0.7126932557003414,0.6761890433534554,0.1651027983349509,0.5645483400923665,0.9,105,1000,global,200,1.0,512
classical_nnn_fields_parity,Ising NN+NNN,1.0723760629745007,0.6267268541659817,0.14671413044865367,0.5347771687281996,0.9,105,1000,global,200,1.0,512
classical_dense_fields_xent,Dense Ising,1.0878993956505005,0.6318673990602508,0.1434992835086398,0.541194880022637,0.9,105,1000,global,200,1.0,512
classical_transformer_mle,AR Transf.,1.4752929093597915,0.5311338479348524,0.15892118873093658,0.4467254254458092,0.9,105,1000,global,200,1.0,512
classical_maxent_parity,MaxEnt,2.4073167198475947,0.5218344741590694,0.13203132532005046,0.4529359769381558,0.9,105,1000,global,200,1.0,512
iqp_parity_mse,IQP (parity),0.48702783583151893,0.7128504798076695,0.17456950859543197,0.5884085218456268,0.9,106,1000,global,200,1.0,512
classical_nnn_fields_parity,Ising NN+NNN,1.0953885006609232,0.6153182438488296,0.16072143781223291,0.5164234109853476,0.9,106,1000,global,200,1.0,512
classical_dense_fields_xent,Dense Ising,1.1161580228871544,0.6254363055413757,0.15800308012610365,0.5266154428431475,0.9,106,1000,global,200,1.0,512
classical_transformer_mle,AR Transf.,1.1682276209971725,0.5899503477984915,0.19246568839219308,0.4764051479922411,0.9,106,1000,global,200,1.0,512
classical_maxent_parity,MaxEnt,2.0303027069749833,0.4989943912350651,0.1836839639696826,0.40733712345436973,0.9,106,1000,global,200,1.0,512
iqp_parity_mse,IQP (parity),0.7686058808374028,0.6863584359703765,0.1797646547297339,0.5629754487073216,0.9,107,1000,global,200,1.0,512
classical_nnn_fields_parity,Ising NN+NNN,1.127337116869077,0.6213778609739363,0.13413905774031615,0.5380268202021994,0.9,107,1000,global,200,1.0,512
classical_dense_fields_xent,Dense Ising,1.1267769890138757,0.6347775740026843,0.15006367153704897,0.5395205206384607,0.9,107,1000,global,200,1.0,512
classical_transformer_mle,AR Transf.,1.003341016990694,0.6394774091512283,0.16185789265325531,0.5359729433066469,0.9,107,1000,global,200,1.0,512
classical_maxent_parity,MaxEnt,2.177198172277583,0.5427150207106497,0.13169334915534822,0.4712430619963501,0.9,107,1000,global,200,1.0,512
iqp_parity_mse,IQP (parity),0.8811291023455265,0.6661797538019152,0.1833557430635695,0.5440318700296592,0.9,108,1000,global,200,1.0,512
classical_nnn_fields_parity,Ising NN+NNN,1.0894377064306966,0.625274063685274,0.15948342865513104,0.5255532121596198,0.9,108,1000,global,200,1.0,512
classical_dense_fields_xent,Dense Ising,1.1124266462047128,0.629653422708975,0.1866163023296339,0.5121498292138281,0.9,108,1000,global,200,1.0,512
classical_transformer_mle,AR Transf.,1.3713078640701704,0.5633629809309563,0.15150415928231104,0.4780111461342351,0.9,108,1000,global,200,1.0,512
classical_maxent_parity,MaxEnt,2.306085912165881,0.5027820135477212,0.17882675670955905,0.4128711367330807,0.9,108,1000,global,200,1.0,512
iqp_parity_mse,IQP (parity),0.5407019226586529,0.6950880696950504,0.19171035548945511,0.5618324887573332,0.9,109,1000,global,200,1.0,512
classical_nnn_fields_parity,Ising NN+NNN,1.1877610186598087,0.6109297868602388,0.1638856584812159,0.5108071564548597,0.9,109,1000,global,200,1.0,512
classical_dense_fields_xent,Dense Ising,1.2239185911668877,0.6262410992171509,0.17976147300514653,0.5136670767655137,0.9,109,1000,global,200,1.0,512
classical_transformer_mle,AR Transf.,1.4779552844898167,0.5369917658839767,0.15230185177533181,0.4552069255517416,0.9,109,1000,global,200,1.0,512
classical_maxent_parity,MaxEnt,1.9195340035491584,0.5615275685524703,0.16827827370279475,0.46703467867993287,0.9,109,1000,global,200,1.0,512
iqp_parity_mse,IQP (parity),0.7959693545346208,0.6590500783779437,0.21242875782738704,0.5190488888820751,0.9,110,1000,global,200,1.0,512
classical_nnn_fields_parity,Ising NN+NNN,1.1789326706581325,0.6099336925595287,0.15240412672965603,0.5169772807819992,0.9,110,1000,global,200,1.0,512
classical_dense_fields_xent,Dense Ising,1.162913567162466,0.6173813680447688,0.17520081310446622,0.5092156503677776,0.9,110,1000,global,200,1.0,512
classical_transformer_mle,AR Transf.,1.2114838018575824,0.5790330816651884,0.20918422385745974,0.45790849588926286,0.9,110,1000,global,200,1.0,512
classical_maxent_parity,MaxEnt,1.7590730630990266,0.5679957668282934,0.2055609868156127,0.45123799649197877,0.9,110,1000,global,200,1.0,512
