n,model_key,q_holdout,R_Q10000,seed
12,d3pm_standard,0.03524,0.8994116078371608,101
12,d3pm_standard,0.026649999999999997,0.9368704675775146,102
12,d3pm_standard,0.025359999999999997,0.8172798958543828,103
12,d3pm_standard,0.03003,0.7736609253676096,104
12,d3pm_standard,0.035109999999999995,0.8633897303976775,105
12,d3pm_standard,0.030129999999999997,0.8515160193729576,106
12,d3pm_standard,0.03198,0.8846468567761081,107
12,d3pm_standard,0.027540000000000002,0.8043619901707542,108
12,d3pm_standard,0.03910000000000001,0.8027111988870296,109
12,d3pm_standard,0.02912,0.8460138027525647,110
12,d3pm_standard,0.023600000000000003,0.9395899740785814,111
12,d3pm_standard,0.02302,0.7885411302933181,112
