n,model_key,q_holdout,R_Q10000,seed
12,d3pm_standard,0.030609999999999995,0.9123593800139507,101
12,d3pm_standard,0.02941,0.821326057574221,102
12,d3pm_standard,0.032679999999999994,0.8397913392652931,103
12,d3pm_standard,0.02709,0.8773994627946727,104
12,d3pm_standard,0.02931,0.905079104979049,105
12,d3pm_standard,0.029029999999999997,0.8452134797907475,106
12,d3pm_standard,0.02269,0.8210498557811331,107
12,d3pm_standard,0.025719999999999996,0.8044129737311769,108
12,d3pm_standard,0.024520000000000004,0.8394246930538614,109
12,d3pm_standard,0.0197,0.8877449260010861,110
12,d3pm_standard,0.016800000000000002,0.8821928857160468,111
12,d3pm_standard,0.02222,0.901387428098429,112
