model_key,model_label,n,beta,seed,train_m,holdout_k,holdout_protocol,holdout_pool,holdout_m,timesteps,steps,TV_score,BSHS,Composite,q_holdout,R_Q1000,R_Q10000,q_eval,eval_samples
d3pm_standard,D3PM (MLP),12,0.9,101,200,20,global_smart,400,5000,32,900,0.26200797552468524,0.6537223874701531,0.4824419081739344,0.030609999999999995,0.4923807762340745,0.9123593800139507,1000,100000
d3pm_standard,D3PM (MLP),12,0.9,102,200,20,global_smart,400,5000,32,900,0.2500666531429176,0.6144174349311554,0.460772123345265,0.02941,0.4175016297006735,0.821326057574221,1000,100000
d3pm_standard,D3PM (MLP),12,0.9,103,200,20,global_smart,400,5000,32,900,0.27226797552468524,0.593398976744081,0.4318354386675503,0.032679999999999994,0.43970379501651846,0.8397913392652931,1000,100000
d3pm_standard,D3PM (MLP),12,0.9,104,200,20,global_smart,400,5000,32,900,0.2603366531429176,0.602442898148849,0.44560493033505805,0.02709,0.4982152117476648,0.8773994627946727,1000,100000
d3pm_standard,D3PM (MLP),12,0.9,105,200,20,global_smart,400,5000,32,900,0.2663166531429175,0.6261387185432107,0.45938755061758757,0.02931,0.5132616296961361,0.905079104979049,1000,100000
d3pm_standard,D3PM (MLP),12,0.9,106,200,20,global_smart,400,5000,32,900,0.2588979755246852,0.6353907397151886,0.4708893635357941,0.029029999999999997,0.42903054359106385,0.8452134797907475,1000,100000
d3pm_standard,D3PM (MLP),12,0.9,107,200,20,global_smart,400,5000,32,900,0.2582529755246852,0.6268579554416541,0.46497002321752645,0.02269,0.4764088238990304,0.8210498557811331,1000,100000
d3pm_standard,D3PM (MLP),12,0.9,108,200,20,global_smart,400,5000,32,900,0.2617379755246852,0.6119231558154165,0.4517596278356129,0.025719999999999996,0.44604991854025655,0.8044129737311769,1000,100000
d3pm_standard,D3PM (MLP),12,0.9,109,200,20,global_smart,400,5000,32,900,0.2603529755246852,0.6104061860714586,0.4514851192490797,0.024520000000000004,0.4822227908392895,0.8394246930538614,1000,100000
d3pm_standard,D3PM (MLP),12,0.9,110,200,20,global_smart,400,5000,32,900,0.2670479755246852,0.6243497692204912,0.45761842733085467,0.0197,0.4513870638611134,0.8877449260010861,1000,100000
d3pm_standard,D3PM (MLP),12,0.9,111,200,20,global_smart,400,5000,32,900,0.26422797552468524,0.616347351464525,0.4534911385670519,0.016800000000000002,0.412639582121721,0.8821928857160468,1000,100000
d3pm_standard,D3PM (MLP),12,0.9,112,200,20,global_smart,400,5000,32,900,0.2763829755246852,0.6014850797062219,0.43524484364331384,0.02222,0.4517268041823665,0.901387428098429,1000,100000
