beta,model,R_Q10000_mean,R_Q10000_std
0.6,iqp_parity,0.956358835193828,
0.6,transformer_strong,0.9655097597488445,0.02822904851750158
0.8,iqp_parity,0.9760756027361357,
0.8,transformer_strong,0.9563662933549373,0.00864871913229829
1.0,iqp_parity,0.8854285165161606,
1.0,transformer_strong,0.9038658620685364,0.03316108176685734
1.2,iqp_parity,0.8833617242704721,
1.2,transformer_strong,0.8331464831893698,0.029135182986117954
