model_key,model_label,n,beta,seed,train_m,val_m,holdout_k,holdout_protocol,holdout_pool,holdout_m,d_model,n_layers,n_heads,ff_mult,dropout,steps,batch_size,lr,weight_decay,best_val_ce,TV_score,BSHS,Composite,q_holdout,R_Q1000,R_Q10000,q_eval
transformer_strong_ar,Transformer AR (strong),12,0.6,101,200,200,20,global_smart,400,5000,160,6,8,4,0.1,200,256,0.002,0.01,0.657930850982666,0.2547904941725392,0.3774066797918538,0.2812470453436701,0.014759612699970476,0.4858473464002861,0.9893409696839285,1000
transformer_strong_ar,Transformer AR (strong),12,0.6,102,200,200,20,global_smart,400,5000,160,6,8,4,0.1,200,256,0.002,0.01,0.6653884649276733,0.2594592558664154,0.4116789821604665,0.30486505979326856,0.017589609964635915,0.5038287875481345,0.9788045351059598,1000
transformer_strong_ar,Transformer AR (strong),12,0.6,103,200,200,20,global_smart,400,5000,160,6,8,4,0.1,200,256,0.002,0.01,0.656325101852417,0.2552019223562856,0.4048913417561144,0.3015622929945382,0.01859109268854132,0.4712528469414896,0.9765581644869392,1000
transformer_strong_ar,Transformer AR (strong),12,0.6,104,200,200,20,global_smart,400,5000,160,6,8,4,0.1,200,256,0.002,0.01,0.6571885347366333,0.25201438971691364,0.3617711021020396,0.27059957858857886,0.01889252386638076,0.4915895040794956,0.9173353697185507,1000
