metric,mean,std,model_key
TV_score,0.25536651552803846,0.003073877163299674,transformer_strong_ar
BSHS,0.3889370264526186,0.023399950613622145,transformer_strong_ar
Composite,0.28956849418001396,0.01640022763068411,transformer_strong_ar
q_holdout,0.01745820980488212,0.00188329257699749,transformer_strong_ar
R_Q1000,0.48812962124235143,0.013521204349716221,transformer_strong_ar
R_Q10000,0.9655097597488445,0.03259609752109308,transformer_strong_ar
best_val_ce,0.6592082381248474,0.00417207373645073,transformer_strong_ar
