metric,mean,std,model_key
TV_score,0.24357854442904794,0.009237486884458097,transformer_strong_ar
BSHS,0.636685156279068,0.016298378135779685,transformer_strong_ar
Composite,0.48163770312747434,0.015204386055515539,transformer_strong_ar
q_holdout,0.030072869869455364,0.007031482637606709,transformer_strong_ar
R_Q1000,0.5092956858226152,0.029218905034383534,transformer_strong_ar
R_Q10000,0.939228272819143,0.008254670610375187,transformer_strong_ar
best_val_ce,0.556844487786293,0.014354280127645818,transformer_strong_ar
