model_key,model_label,n,beta,seed,train_m,val_m,holdout_k,holdout_protocol,holdout_pool,holdout_m,d_model,n_layers,n_heads,ff_mult,dropout,steps,batch_size,lr,weight_decay,best_val_ce,TV_score,BSHS,Composite,q_holdout,R_Q1000,R_Q10000,q_eval
transformer_strong_ar,Transformer AR (strong),12,0.9,101,200,200,20,global_smart,400,5000,160,6,8,4,0.1,200,256,0.002,0.01,0.5682019591331482,0.24640330779391995,0.6567812382473893,0.49494816864624597,0.03711829619486249,0.5293453981570544,0.9398480464664724,1000
transformer_strong_ar,Transformer AR (strong),12,0.9,102,200,200,20,global_smart,400,5000,160,6,8,4,0.1,200,256,0.002,0.01,0.545563280582428,0.25209210906343293,0.6260835895344102,0.46825285699867614,0.032549270355781895,0.5298799311289903,0.9349435412229564,1000
transformer_strong_ar,Transformer AR (strong),12,0.9,103,200,200,20,global_smart,400,5000,160,6,8,4,0.1,200,256,0.002,0.01,0.5433550477027893,0.24536775089691654,0.6210844947775463,0.4686903891770321,0.020452838238171973,0.4676483078273164,0.9505201322714003,1000
transformer_strong_ar,Transformer AR (strong),12,0.9,104,200,200,20,global_smart,400,5000,160,6,8,4,0.1,200,256,0.002,0.01,0.5702576637268066,0.2304510099619224,0.6427913025569262,0.4946593976879429,0.030171074689005106,0.5103091061770995,0.9316013713157434,1000
