beta,model_key,model_label,n_seeds,kl_mean,coverage_mean
1.2,iqp_parity_mse,IQP (parity),5,0.39950789582315605,0.051384805073272144
1.3,classical_dense_fields_xent,Dense Ising+fields (xent),5,1.0764953496833949,0.030242839174297355
1.3,classical_maxent_parity,"MaxEnt parity (P,z)",5,2.2716392052412666,0.0026660960775839945
1.3,classical_nnn_fields_parity,Ising+fields (NN+NNN),5,0.9394656609482566,0.03005074958660927
1.3,classical_transformer_mle,AR Transformer (MLE),5,0.561150233884439,0.02947030348698639
1.3,iqp_parity_mse,IQP (parity),5,0.3468792875889202,0.04362711410963076
1.4,classical_dense_fields_xent,Dense Ising+fields (xent),5,1.1436919504409413,0.018997951724721927
1.4,classical_maxent_parity,"MaxEnt parity (P,z)",5,1.901388778713465,0.001574830282798927
1.4,classical_nnn_fields_parity,Ising+fields (NN+NNN),5,0.8480467756953217,0.02386480309394016
1.4,classical_transformer_mle,AR Transformer (MLE),5,0.6961322765804984,0.021854388937486927
1.4,iqp_parity_mse,IQP (parity),5,0.3015971928101975,0.03610373001035945
1.5,classical_dense_fields_xent,Dense Ising+fields (xent),5,0.9726366497831214,0.015179627449318805
1.5,classical_maxent_parity,"MaxEnt parity (P,z)",5,1.537004303045271,0.000776365844222595
1.5,classical_nnn_fields_parity,Ising+fields (NN+NNN),5,0.7338265135465973,0.019475702147065118
1.5,classical_transformer_mle,AR Transformer (MLE),5,0.5025279527683308,0.01871848611195826
1.5,iqp_parity_mse,IQP (parity),5,0.28320109510196717,0.03040216728560039
1.6,classical_dense_fields_xent,Dense Ising+fields (xent),5,0.9228008770536201,0.010201662380701615
1.6,classical_maxent_parity,"MaxEnt parity (P,z)",5,1.5767147166413977,0.0003746741594853737
1.6,classical_nnn_fields_parity,Ising+fields (NN+NNN),5,0.6422798349380342,0.016439158760938023
1.6,classical_transformer_mle,AR Transformer (MLE),5,0.3109101951283973,0.018110021953158494
1.6,iqp_parity_mse,IQP (parity),5,0.23441198245856917,0.02491867406026096
1.7,classical_dense_fields_xent,Dense Ising+fields (xent),5,0.738010793599568,0.009352194556977464
1.7,classical_maxent_parity,"MaxEnt parity (P,z)",5,1.398021915280178,0.0002816761711899261
1.7,classical_nnn_fields_parity,Ising+fields (NN+NNN),5,0.5537133673700376,0.012762372299893557
1.7,classical_transformer_mle,AR Transformer (MLE),5,0.29985442195891715,0.019433340504979676
1.7,iqp_parity_mse,IQP (parity),5,0.23884346256487357,0.02269540511177716
1.8,classical_dense_fields_xent,Dense Ising+fields (xent),5,0.7055199306315091,0.004092642047838857
1.8,classical_maxent_parity,"MaxEnt parity (P,z)",5,0.7658505980094183,0.00012786543194858504
1.8,classical_nnn_fields_parity,Ising+fields (NN+NNN),5,0.5001056742175544,0.008777204891055709
1.8,classical_transformer_mle,AR Transformer (MLE),5,0.4595052999469715,0.012573385017672823
1.8,iqp_parity_mse,IQP (parity),5,0.2007642995775733,0.015995213882637735
1.9,classical_dense_fields_xent,Dense Ising+fields (xent),5,0.6301412719066211,0.0033765583152471175
1.9,classical_maxent_parity,"MaxEnt parity (P,z)",5,0.6672383699077975,0.00011496926286409055
1.9,classical_nnn_fields_parity,Ising+fields (NN+NNN),5,0.41427997316699444,0.007717466578959384
1.9,classical_transformer_mle,AR Transformer (MLE),5,0.18391005782424794,0.008582316237046653
1.9,iqp_parity_mse,IQP (parity),5,0.179573285696042,0.013273666813291637
2.0,classical_dense_fields_xent,Dense Ising+fields (xent),5,0.5649803857506003,0.0026872244682135263
2.0,classical_maxent_parity,"MaxEnt parity (P,z)",5,0.8811676030705173,0.00015433761450936285
2.0,classical_nnn_fields_parity,Ising+fields (NN+NNN),5,0.36010626161215653,0.005763395353785995
2.0,classical_transformer_mle,AR Transformer (MLE),5,0.2613581504104149,0.006300754927130389
2.0,iqp_parity_mse,IQP (parity),5,0.16620675342822683,0.009635026379973549
