model_key,model_label,n,beta,seed,train_m,holdout_k,holdout_protocol,holdout_pool,holdout_m,timesteps,steps,TV_score,BSHS,Composite,q_holdout,R_Q1000,R_Q10000,q_eval,eval_samples
d3pm_standard,D3PM (MLP),12,0.8,101,200,20,global_smart,400,5000,24,250,0.2804024187848116,0.4956235167507368,0.35664948384719564,0.02079,0.45173959259435864,0.95415515853715,1000,100000
d3pm_standard,D3PM (MLP),12,0.8,102,200,20,global_smart,400,5000,24,250,0.26305631999033,0.5255398225394239,0.387293250813832,0.03055,0.47212037326062495,0.8419509991454254,1000,100000
d3pm_standard,D3PM (MLP),12,0.8,103,200,20,global_smart,400,5000,24,250,0.26779631999033005,0.5326768049548203,0.39002791684371263,0.023399999999999997,0.4632756874541103,0.8331236041545986,1000,100000
d3pm_standard,D3PM (MLP),12,0.8,104,200,20,global_smart,400,5000,24,250,0.26942241878481166,0.5047026561831671,0.36872444578717906,0.028319999999999998,0.4416980544626746,0.9136940953090743,1000,100000
d3pm_standard,D3PM (MLP),12,0.8,105,200,20,global_smart,400,5000,24,250,0.2601974187848117,0.5525519361748809,0.4087793486376268,0.01985,0.45203657861136615,0.9015339395123221,1000,100000
d3pm_standard,D3PM (MLP),12,0.8,106,200,20,global_smart,400,5000,24,250,0.28901589512282644,0.46943966804059334,0.33376414217567874,0.017159999999999998,0.42745018799088735,0.8610214393140865,1000,100000
d3pm_standard,D3PM (MLP),12,0.8,107,200,20,global_smart,400,5000,24,250,0.2836774187848116,0.5762339481059437,0.41276938909106853,0.0223,0.4921734219054093,0.8678631358873415,1000,100000
d3pm_standard,D3PM (MLP),12,0.8,108,200,20,global_smart,400,5000,24,250,0.2698924187848116,0.5634253511524121,0.4113611203252057,0.019289999999999998,0.4566208509040969,0.8291369999686402,1000,100000
d3pm_standard,D3PM (MLP),12,0.8,109,200,20,global_smart,400,5000,24,250,0.26118241878481163,0.4946649417293735,0.3654671557604478,0.0193,0.4293364634261801,0.8951899901587472,1000,100000
d3pm_standard,D3PM (MLP),12,0.8,110,200,20,global_smart,400,5000,24,250,0.28066741878481166,0.5240314248928315,0.37695287750603357,0.01842,0.41996693089557857,0.8878852501457274,1000,100000
d3pm_standard,D3PM (MLP),12,0.8,111,200,20,global_smart,400,5000,24,250,0.26326131999033,0.5581570507935567,0.4112158888397353,0.02049,0.43656274175570464,0.8901081145794214,1000,100000
d3pm_standard,D3PM (MLP),12,0.8,112,200,20,global_smart,400,5000,24,250,0.26711131999033,0.48746552139205424,0.3572579625232482,0.031319999999999994,0.3769490720230961,0.8219813289687672,1000,100000
