n,model_key,q_holdout,R_Q10000,seed
12,d3pm_standard,0.02079,0.95415515853715,101
12,d3pm_standard,0.03055,0.8419509991454254,102
12,d3pm_standard,0.023399999999999997,0.8331236041545986,103
12,d3pm_standard,0.028319999999999998,0.9136940953090743,104
12,d3pm_standard,0.01985,0.9015339395123221,105
12,d3pm_standard,0.017159999999999998,0.8610214393140865,106
12,d3pm_standard,0.0223,0.8678631358873415,107
12,d3pm_standard,0.019289999999999998,0.8291369999686402,108
12,d3pm_standard,0.0193,0.8951899901587472,109
12,d3pm_standard,0.01842,0.8878852501457274,110
12,d3pm_standard,0.02049,0.8901081145794214,111
12,d3pm_standard,0.031319999999999994,0.8219813289687672,112
