n,model_key,q_holdout,R_Q10000,seed
12,d3pm_standard,0.018210000000000004,0.8982994154452492,101
12,d3pm_standard,0.010190000000000001,0.8984374416899691,102
12,d3pm_standard,0.019990000000000004,0.9062024626615468,103
12,d3pm_standard,0.0153,0.8706265050038311,104
12,d3pm_standard,0.011080000000000001,0.8742145578056215,105
12,d3pm_standard,0.0165,0.9258338346472561,106
12,d3pm_standard,0.0185,0.9239076493946918,107
12,d3pm_standard,0.016200000000000003,0.9313119150705068,108
12,d3pm_standard,0.0135,0.9766983662857142,109
12,d3pm_standard,0.013510000000000001,0.9425628237252512,110
12,d3pm_standard,0.01865,0.8559158632708147,111
12,d3pm_standard,0.02049,0.8807027593337381,112
