model_key,model_label,TV_score,BSHS,Composite,beta,seed,q_eval,holdout_mode,train_m,sigma,K
classical_maxent_parity,"MaxEnt parity (P,z)",0.17882675670955905,0.5027820135477212,0.4128711367330807,0.9,108,1000,global,200,1.0,512
iqp_parity_mse,IQP (parity),0.19171035548945511,0.6950880696950504,0.5618324887573332,0.9,109,1000,global,200,1.0,512
classical_nnn_fields_parity,Ising+fields (NN+NNN),0.1638856584812159,0.6109297868602388,0.5108071564548597,0.9,109,1000,global,200,1.0,512
classical_dense_fields_xent,Dense Ising+fields (xent),0.17976147300514653,0.6262410992171509,0.5136670767655137,0.9,109,1000,global,200,1.0,512
classical_transformer_mle,AR Transformer (MLE),0.15230185177533181,0.5369917658839767,0.4552069255517416,0.9,109,1000,global,200,1.0,512
classical_maxent_parity,"MaxEnt parity (P,z)",0.16827827370279475,0.5615275685524703,0.46703467867993287,0.9,109,1000,global,200,1.0,512
iqp_parity_mse,IQP (parity),0.21242875782738704,0.6590500783779437,0.5190488888820751,0.9,110,1000,global,200,1.0,512
classical_nnn_fields_parity,Ising+fields (NN+NNN),0.15240412672965603,0.6099336925595287,0.5169772807819992,0.9,110,1000,global,200,1.0,512
classical_dense_fields_xent,Dense Ising+fields (xent),0.17520081310446622,0.6173813680447688,0.5092156503677776,0.9,110,1000,global,200,1.0,512
classical_transformer_mle,AR Transformer (MLE),0.20918422385745974,0.5790330816651884,0.45790849588926286,0.9,110,1000,global,200,1.0,512
classical_maxent_parity,"MaxEnt parity (P,z)",0.2055609868156127,0.5679957668282934,0.45123799649197877,0.9,110,1000,global,200,1.0,512
iqp_parity_mse,IQP (parity),0.2130566721565296,0.6939628349076074,0.5461094227018815,0.9,111,1000,global,200,1.0,512
classical_nnn_fields_parity,Ising+fields (NN+NNN),0.18673053032152487,0.638465344127289,0.5192443718264854,0.9,111,1000,global,200,1.0,512
classical_dense_fields_xent,Dense Ising+fields (xent),0.1952621783806319,0.6414257855395381,0.51617958938558,0.9,111,1000,global,200,1.0,512
classical_transformer_mle,AR Transformer (MLE),0.1519709706390117,0.6481083019322347,0.5496146542083913,0.9,111,1000,global,200,1.0,512
classical_maxent_parity,"MaxEnt parity (P,z)",0.12814045124198498,0.5519421587942777,0.48121604150690356,0.9,111,1000,global,200,1.0,512
iqp_parity_mse,IQP (parity),0.19884296112890576,0.7054212568531453,0.5651532052971915,0.9,112,1000,global,200,1.0,512
classical_nnn_fields_parity,Ising+fields (NN+NNN),0.17546034482393436,0.6308374002960323,0.5201504525122561,0.9,112,1000,global,200,1.0,512
classical_dense_fields_xent,Dense Ising+fields (xent),0.19293529704007267,0.6418905290631621,0.5180471891711516,0.9,112,1000,global,200,1.0,512
classical_transformer_mle,AR Transformer (MLE),0.14158492950646018,0.6233329007643645,0.5350783559505846,0.9,112,1000,global,200,1.0,512
classical_maxent_parity,"MaxEnt parity (P,z)",0.13715337916638265,0.5401373574610854,0.4660556936712972,0.9,112,1000,global,200,1.0,512
